OverallDraftNumber,DraftRound,FantasyTeam,Position,Player,Year,Team
62,6,Datsyuk's Dekes,C,Rickard Rakell,2019,ANA
254,22,Datsyuk's Dekes,C,Adam Henrique,2019,ANA
87,8,Every Day I'm Byfuglien,C,Ryan Getzlaf,2019,ANA
220,19,Tronhelm Black Bears,D,Hampus Lindholm,2019,ANA
182,16,Datsyuk's Dekes,D,Josh Manson,2019,ANA
187,16,Takoma Park Holtbeasts,D,Cam Fowler,2019,ANA
141,12,Tronhelm Black Bears,RW,Corey Perry,2019,ANA
230,20,Datsyuk's Dekes,RW,Jakob Silfverberg,2019,ANA
275,23,Datsyuk's Dekes,RW,Ondrej Kase,2019,ANA
97,9,London Bacon Blades,C,Clayton Keller,2019,ARI
162,14,Shat Deuces,C,Derek Stepan,2019,ARI
153,13,Davinci's McDavid,C,Nick Schmaltz,2019,ARI
110,10,Datsyuk's Dekes,D,Oliver Ekman-Larsson,2019,ARI
192,16,London Bacon Blades,LW,Alex Galchenyuk,2019,ARI
236,20,Amesville Aliens,C,David Krejci,2019,BOS
66,6,Shat Deuces,C,Patrice Bergeron,2019,BOS
237,20,Tronhelm Black Bears,D,Zdeno Chara,2019,BOS
268,23,Tronhelm Black Bears,D,John Moore,2019,BOS
90,8,Shat Deuces,D,Torey Krug,2019,BOS
154,13,Every Day I'm Byfuglien,D,Charlie McAvoy,2019,BOS
253,22,Beet Beet Gourde Gourde,LW,Jake DeBrusk,2019,BOS
8,1,Paul North Kariya,LW,Brad Marchand,2019,BOS
243,21,Gritty Gritty Bang Bang,LW,Charlie Coyle,2019,BOS
22,2,Every Day I'm Byfuglien,LW,David Pastrnak,2019,BOS
179,15,Datsyuk's Dekes,C,Sam Reinhart,2019,BUF
6,1,Takoma Park Holtbeasts,C,Jack Eichel,2019,BUF
106,9,Every Day I'm Byfuglien,C,Casey Mittelstadt,2019,BUF
120,10,London Bacon Blades,D,Rasmus Ristolainen,2019,BUF
113,10,Paul North Kariya,D,Rasmus Dahlin,2019,BUF
129,11,Davinci's McDavid,D,Brandon Montour,2019,BUF
137,12,Paul North Kariya,LW,Jeff Skinner,2019,BUF
249,21,Davinci's McDavid,RW,Kyle Okposo,2019,BUF
247,21,Shat Deuces,C,Jordan Staal,2019,CAR
233,20,Paul North Kariya,D,Calvin de Haan,2019,CAR
197,17,Amesville Aliens,D,Justin Faulk,2019,CAR
112,10,Davinci's McDavid,D,Dougie Hamilton,2019,CAR
219,19,Gritty Gritty Bang Bang,D,Jaccob Slavin,2019,CAR
102,9,Takoma Park Holtbeasts,LW,Teuvo Teravainen,2019,CAR
93,8,Tronhelm Black Bears,RW,Andrei Svechnikov,2019,CAR
194,17,Team Game Blouses,RW,Justin Williams,2019,CAR
64,6,Davinci's McDavid,RW,Sebastian Aho,2019,CAR
