Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2014,Patrik Elias,N.J,C,65,120.7666667,2,4,3,1,6,100,3,66.67,8,6,2,0,1,0,2,1,1,0,0,0,2,7,0,2,2,14,28,33.33
2014,Tyler Johnson,T.B,C,82,166.0666667,5,1,1,0,6,85.71,13,38.46,18,17,17,9,7,0,0,0,0,0,0,3,4,3,3,4,9,83,106,43.92
2014,Victor Hedman,T.B,D,75,161.6833333,0,6,5,1,6,120,4,0,4,4,3,0,0,0,2,1,1,0,0,3,2,7,4,3,12,0,0,-
2014,Lee Stempniak,"CGY, PIT",R,73,97.61666667,2,3,2,1,5,100,8,25,12,10,11,5,6,3,0,0,0,0,0,1,0,5,5,1,1,1,9,10
2014,Andrew Cogliano,ANA,L,82,132.4166667,3,2,2,0,5,83.33,12,25,22,18,16,7,2,0,4,2,2,0,0,6,2,3,5,3,6,3,9,25
2014,Brad Marchand,BOS,L,82,127.5,5,0,0,0,5,100,13,38.46,14,13,11,7,1,1,2,1,1,0,0,4,3,6,6,9,6,0,1,0
2014,Jonathan Toews,CHI,C,76,118.45,3,2,2,0,5,100,10,30,15,12,11,8,0,0,0,0,0,0,0,1,1,5,0,6,5,40,48,45.45
2014,Adam Henrique,N.J,C,77,169.4333333,3,2,2,0,5,71.43,14,21.43,20,18,12,7,4,0,0,0,0,0,0,2,0,11,3,0,9,51,55,48.11
2014,Sean Couturier,PHI,C,82,282.2666667,1,4,4,0,5,71.43,16,6.25,21,20,10,6,1,0,2,1,1,0,0,1,7,11,3,9,11,101,127,44.3
2014,Saku Koivu,ANA,C,65,102.3,1,3,3,0,4,100,9,11.11,9,9,5,3,0,2,2,1,1,0,0,2,1,5,1,2,5,43,55,43.88
2014,Marian Hossa,CHI,R,72,96.35,3,1,1,0,4,80,8,37.5,14,12,11,7,0,0,2,1,1,0,0,0,4,11,1,0,3,1,1,50
2014,Rick Nash,NYR,R,65,33.05,2,2,2,0,4,100,5,40,6,5,4,3,0,0,5,1,0,1,0,1,0,3,0,2,2,2,0,100
2014,Eric Staal,CAR,C,79,70.15,2,2,2,0,4,100,8,25,11,10,8,2,2,0,2,1,1,0,0,6,1,4,0,2,2,30,29,50.85
2014,Patrice Bergeron,BOS,C,80,157.2666667,1,3,3,0,4,66.67,9,11.11,16,13,10,3,1,0,4,2,2,0,0,2,2,8,5,6,12,128,108,54.24
2014,Brandon Dubinsky,CBJ,C,76,163.5666667,2,2,2,0,4,100,21,9.52,27,25,20,11,2,3,4,2,2,0,0,2,1,13,4,6,11,55,67,45.08
2014,Daniel Winnik,ANA,L,76,194.2166667,2,2,2,0,4,133.33,4,50,8,7,6,5,2,0,2,1,1,0,0,2,2,13,0,9,22,9,20,31.03
2014,Niklas Hjalmarsson,CHI,D,81,228.8666667,1,3,1,2,4,80,3,33.33,3,3,0,0,0,1,4,2,2,0,0,2,13,6,7,6,38,0,0,-
2014,Bryan Little,WPG,C,82,185.55,2,2,2,0,4,100,9,22.22,17,11,11,5,1,1,2,1,1,0,0,6,4,7,3,3,8,121,144,45.66
2014,Jordan Staal,CAR,C,82,134.45,1,3,3,0,4,66.67,12,8.33,15,13,9,4,2,1,0,0,0,0,0,3,2,7,3,1,4,53,69,43.44
2014,James van Riemsdyk,TOR,L,80,116.6166667,2,2,1,1,4,100,10,20,14,12,8,4,0,0,6,3,3,0,0,1,2,6,1,7,3,3,4,42.86
2014,Paul Byron,CGY,L,47,62.15,1,3,3,0,4,100,3,33.33,3,3,3,3,0,0,14,3,2,0,1,2,1,6,2,2,2,1,6,14.29
2014,Logan Couture,S.J,C,65,88.43333333,2,2,2,0,4,100,11,18.18,13,12,7,6,0,3,2,1,1,0,0,4,3,4,1,1,16,22,34,39.29
2014,Mikael Backlund,CGY,C,76,147.2166667,4,0,0,0,4,100,17,23.53,21,19,16,8,3,0,2,1,1,0,0,2,1,6,1,1,16,83,85,49.4
2014,Ryan McDonagh,NYR,D,77,209.2166667,3,1,1,0,4,50,4,75,4,4,2,0,0,0,2,1,1,0,0,5,8,5,8,2,29,0,0,-
2014,Matt Read,PHI,R,75,229.9666667,4,0,0,0,4,80,19,21.05,25,24,13,6,2,1,0,0,0,0,0,0,4,10,6,5,15,1,5,16.67
2014,Ondrej Palat,T.B,L,81,168.2166667,2,2,2,0,4,57.14,14,14.29,20,16,15,5,0,2,0,0,0,0,0,1,2,8,5,3,19,0,6,0
