"Year","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"2015","Tyler Toffoli","L.A","C","76","75.183333333333","5","1","1","0","6","100.00","15","33.33","19","17","12","3","1","2","17","3","1","1","1","3","3","6","6","2","2","0","0","-"
"2015","Rick Nash","NYR","R","79","105.45","4","1","1","0","5","83.33","17","23.53","29","20","18","11","4","1","4","2","2","0","0","1","4","15","5","1","4","0","0","-"
"2015","Blake Wheeler","WPG","R","79","140.1","4","1","1","0","5","83.33","8","50.00","11","9","9","5","2","0","4","2","2","0","0","2","1","6","11","5","14","6","11","35.29"
"2015","Jamie Benn","DAL","L","82","121.23333333333","2","3","2","1","5","100.00","9","22.22","15","12","8","3","3","0","2","1","1","0","0","5","0","9","7","5","4","16","17","48.48"
"2015","Max Pacioretty","MTL","L","80","125.06666666667","3","2","2","0","5","83.33","17","17.65","29","22","16","8","2","1","2","1","1","0","0","3","6","7","2","3","7","1","0","100.00"
"2015","Derek Stepan","NYR","C","68","108.38333333333","2","3","3","0","5","83.33","13","15.38","16","16","11","4","3","0","0","0","0","0","0","4","2","7","1","4","3","49","68","41.88"
"2015","Tomas Plekanec","MTL","C","82","157.3","3","1","1","0","4","100.00","16","18.75","24","21","18","7","3","0","4","2","2","0","0","3","5","5","3","5","8","59","86","40.69"
"2015","Nikolay Kulemin","NYI","L","82","144.6","3","1","0","1","4","80.00","9","33.33","15","10","11","5","3","1","17","3","1","1","1","1","1","12","3","1","12","2","9","18.18"
"2015","Brandon Sutter","PIT","C","80","183.15","4","0","0","0","4","100.00","18","22.22","19","18","14","11","3","2","2","1","1","0","0","3","5","9","3","3","18","104","119","46.64"
"2015","Zdeno Chara","BOS","D","63","191.68333333333","0","3","2","1","3","75.00","5","0.00","7","7","0","0","0","0","8","4","4","0","0","4","6","5","12","3","25","0","0","-"
"2015","Frans Nielsen","NYI","C","78","136.46666666667","1","2","2","0","3","100.00","9","11.11","12","12","9","1","0","1","0","0","0","0","0","2","4","12","0","3","8","68","97","41.21"
"2015","Ryan Kesler","ANA","C","81","179.71666666667","1","2","2","0","3","100.00","9","11.11","10","10","8","6","0","1","12","2","1","0","1","1","1","6","5","4","26","110","117","48.46"
"2015","Brian Boyle","T.B","C","82","195.71666666667","3","0","0","0","3","75.00","12","25.00","18","15","12","8","5","1","6","3","3","0","0","7","0","14","3","3","28","99","129","43.42"
"2015","Jannik Hansen","VAN","R","81","106.11666666667","1","2","2","0","3","100.00","11","9.09","16","14","11","6","3","0","2","1","1","0","0","2","0","5","5","0","4","0","2","0.00"
"2015","Andrew Cogliano","ANA","L","82","136.71666666667","3","0","0","0","3","75.00","21","14.29","29","27","25","14","2","4","2","1","1","0","0","3","3","6","7","1","4","9","12","42.86"
"2015","Brad Marchand","BOS","L","77","106.48333333333","2","1","1","0","3","100.00","10","20.00","14","11","9","4","2","0","14","3","2","0","1","3","1","10","6","6","8","1","1","50.00"
"2015","Leo Komarov","TOR","C","62","160.23333333333","1","2","2","0","3","150.00","13","7.69","18","15","6","3","3","0","0","0","0","0","0","3","4","10","22","2","5","9","22","29.03"
"2015","Cal Clutterbuck","NYI","R","76","109.96666666667","2","1","1","0","3","100.00","14","14.29","19","16","10","4","4","1","8","4","4","0","0","8","2","6","6","1","7","3","3","50.00"
"2015","Michael Frolik","WPG","R","82","130.48333333333","3","0","0","0","3","100.00","13","23.08","19","15","9","4","0","1","2","1","1","0","0","1","6","8","3","1","7","1","3","25.00"
"2015","Artem Anisimov","CBJ","C","52","104.41666666667","0","3","2","1","3","100.00","7","0.00","14","12","11","3","1","0","0","0","0","0","0","0","1","3","2","4","3","14","13","51.85"
"2015","Jonathan Toews","CHI","C","81","111.76666666667","2","1","1","0","3","100.00","11","18.18","14","14","14","10","3","2","2","1","1","0","0","2","4","4","0","4","4","43","36","54.43"
"2015","Ryan McDonagh","NYR","D","71","185.83333333333","0","3","1","2","3","60.00","5","0.00","10","8","0","0","0","1","4","2","2","0","0","3","8","9","18","5","30","0","0","-"
"2015","Roman Josi","NSH","D","81","197.66666666667","0","3","3","0","3","100.00","6","0.00","7","7","1","0","1","0","2","1","1","0","0","0","11","5","0","3","34","0","0","-"
"2015","TJ Brodie","CGY","D","81","166.91666666667","1","2","1","1","3","75.00","7","14.29","9","8","3","3","1","0","0","0","0","0","0","3","7","7","1","7","14","0","0","-"
"2015","Jakob Silfverberg","ANA","R","81","141.15","1","2","2","0","3","75.00","18","5.56","26","24","16","4","4","0","0","0","0","0","0","0","1","9","2","3","8","10","9","52.63"
"2015","Evander Kane","WPG","L","37","67.716666666667","1","2","2","0","3","100.00","8","12.50","14","11","8","2","2","2","5","1","0","1","0","5","1","0","9","1","4","4","11","26.67"
"2015","Jacob Josefson","N.J","C","62","114.73333333333","3","0","0","0","3","100.00","7","42.86","8","7","6","4","0","0","0","0","0","0","0","2","0","1","4","3","9","49","47","51.04"
"2015","Cody Eakin","DAL","C","78","152.53333333333","2","1","1","0","3","60.00","8","25.00","15","14","10","7","2","1","2","1","1","0","0","1","5","12","4","2","11","75","84","47.17"
"2015","Tobias Rieder","ARI","R","72","91.166666666667","3","0","0","0","3","100.00","10","30.00","15","11","11","6","3","1","0","0","0","0","0","1","1","7","6","4","8","0","2","0.00"
"2015","Adam Larsson","N.J","D","64","202.5","0","3","1","2","3","150.00","1","0.00","1","1","0","0","0","0","2","1","1","0","0","0","2","6","12","4","29","0","0","-"
