Year,Player,Team,Position,GP,PPTOI,PPGoals,PPTotal_Assists,PPFirst_Assists,PPSecond_Assists,PPTotal_Points,PPShots,PPSHPer,PPiCF,PPiFF,PPiSCF,PPiHDCF,PPRush_Attempts,PPRebounds_Created,PPPIM,PPTotal_Penalties,PPMinor,PPMajor,PPMisconduct,PPPenalties_Drawn,PPGiveaways,PPTakeaways,PPHits,PPHits_Taken,PPShots_Blocked,PPFaceoffs_Won,PPFaceoffs_Lost,PPFaceoffs_Per
2015,Claude Giroux,PHI,C,81,267.6,14,23,7,16,37,64,21.88,122,79,40,5,0,9,4,2,2,0,0,3,7,0,5,11,1,192,132,59.26
2015,Alex Ovechkin,WSH,L,81,309.2666667,25,9,6,3,34,134,18.66,265,205,104,20,0,9,12,6,6,0,0,1,5,3,6,7,0,0,0,-
2015,Nicklas Backstrom,WSH,C,82,254.05,3,30,14,16,33,34,8.82,59,45,34,7,0,5,0,0,0,0,0,1,7,2,2,4,1,88,66,57.14
2015,Jakub Voracek,PHI,R,82,267.7333333,11,22,8,14,33,65,16.92,136,92,47,11,0,13,11,4,3,1,0,0,9,1,3,12,0,1,0,100
2015,Joe Pavelski,S.J,C,82,269.1833333,19,12,10,2,31,91,20.88,131,112,98,61,0,13,2,1,1,0,0,2,18,3,1,8,3,114,71,61.62
2015,Sidney Crosby,PIT,C,77,279.9666667,10,21,10,11,31,55,18.18,88,70,51,22,1,5,4,2,2,0,0,2,14,3,4,18,0,176,160,52.38
2015,John Tavares,NYI,C,82,303.5666667,13,18,7,11,31,73,17.81,107,91,79,39,4,14,12,6,6,0,0,2,29,6,4,13,2,147,142,50.87
2015,Mark Streit,PHI,D,81,290.6666667,4,26,16,10,30,50,8,121,69,23,3,2,13,0,0,0,0,0,0,5,2,5,2,6,0,0,-
2015,Erik Karlsson,OTT,D,82,393.5166667,6,24,14,10,30,93,6.45,208,145,49,6,4,16,6,3,3,0,0,1,11,4,5,5,5,0,0,-
2015,Keith Yandle,"ARI, NYR",D,84,348.2,2,27,9,18,29,71,2.82,148,98,43,3,1,14,8,4,4,0,0,0,17,5,0,3,8,0,0,-
