Year,Player,Team,Position,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,Shots,SHPer,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Per
2015,Jamie Benn,DAL,L,82,1635.733333,35,51,31,20,86,252,13.89,464,354,294,140,19,34,62,25,21,4,0,34,49,75,119,99,50,294,273,51.85
2015,John Tavares,NYI,C,82,1695.2,38,48,30,18,86,278,13.67,471,374,348,169,19,32,46,23,23,0,0,22,109,94,48,103,37,753,689,52.22
2015,Sidney Crosby,PIT,C,77,1538.533333,28,56,31,25,84,237,11.81,380,315,239,107,8,25,47,18,16,1,1,29,53,37,66,117,29,797,800,49.91
2015,Alex Ovechkin,WSH,L,81,1646.4,53,28,21,7,81,395,13.42,825,597,375,109,23,33,58,29,29,0,0,32,58,45,259,108,32,2,3,40
2015,Jakub Voracek,PHI,R,82,1524.633333,22,59,31,28,81,221,9.95,424,291,186,75,8,29,78,28,24,2,2,30,42,34,55,139,28,6,3,66.67
2015,Nicklas Backstrom,WSH,C,82,1683.466667,18,60,31,29,78,153,11.76,283,231,162,61,13,13,40,19,19,0,0,14,36,55,91,100,52,862,747,53.57
2015,Tyler Seguin,DAL,C,71,1388.133333,37,40,33,7,77,280,13.21,529,390,255,77,10,36,20,10,10,0,0,17,45,45,63,34,26,275,236,53.82
2015,Daniel Sedin,VAN,L,82,1505.283333,20,56,35,21,76,226,8.85,370,300,211,88,10,23,18,9,9,0,0,15,36,19,21,87,16,2,3,40
2015,Jiri Hudler,CGY,R,78,1404.733333,31,45,29,16,76,158,19.62,270,223,191,89,12,8,14,7,7,0,0,15,32,43,27,39,14,21,25,45.65
2015,Henrik Sedin,VAN,C,82,1526.183333,18,55,28,27,73,101,17.82,165,130,108,56,8,6,22,11,11,0,0,14,38,33,25,67,24,704,861,44.98
2015,Claude Giroux,PHI,C,81,1665.766667,25,48,20,28,73,279,8.96,512,360,229,58,8,23,36,17,17,0,0,22,36,40,110,84,28,1063,815,56.6
2015,Vladimir Tarasenko,STL,R,77,1356.566667,37,36,17,19,73,264,14.02,531,384,323,74,18,22,31,14,13,1,0,28,19,35,32,93,18,0,3,0
2015,Steven Stamkos,T.B,C,82,1588.15,43,29,22,7,72,268,16.04,509,387,277,110,5,24,49,19,17,1,1,31,37,34,91,93,35,469,474,49.73
