Year,Player,Team,Position,GP,TOI,TOI_GP,CF_60,CA_60,CFPer,FF_60,FA_60,FFPer,SF_60,SA_60,SFPer,GF_60,GA_60,GFPer,SCF_60,SCA_60,SCFPer,HDCF_60,HDCA_60,HDCFPer,HDGF_60,HDGA_60,HDGFPer,MDCF_60,MDCA_60,MDCFPer,MDGF_60,MDGA_60,MDGFPer,LDCF_60,LDCA_60,LDCFPer,LDGF_60,LDGA_60,LDGFPer,On-Ice SHPer,On-Ice SVPer,PDO,Off. Zone Faceoffs_60,Neu. Zone Faceoffs_60,Def. Zone Faceoffs_60,OnTFStarts_60,OffZoneStartPer,OffZoneFaceoffs_60,NeuZoneFaceoffs_60,DefZoneFaceoffs_60,Off. Zone Faceoff Per
2015,Curtis Hamilton,EDM,L,1,8.016666667,8.016666667,44.91,127.23,26.09,22.45,89.81,20,14.97,74.84,16.67,0,0,-,29.94,59.88,33.33,0,29.94,0,0,0,-,39.92,39.92,50,0,0,-,21.62,75.68,22.22,0,0,-,0,100,1,37.42,14.97,29.94,22.45,55.56,67.36,37.42,29.94,69.23
2015,Jesse Blacker,ANA,D,1,6.05,6.05,19.83,109.09,15.38,19.83,89.26,18.18,19.83,69.42,22.22,0,19.83,0,9.92,49.59,16.67,0,39.67,0,0,19.83,0,13.22,13.22,50,0,0,-,14.33,85.95,14.29,0,0,-,0,71.43,0.714,0,9.92,9.92,69.42,0,9.92,9.92,9.92,50
2015,Colin Fraser,STL,C,1,4.7,4.7,25.53,102.13,20,25.53,76.6,25,25.53,63.83,28.57,0,12.77,0,12.77,63.83,16.67,0,51.06,0,0,12.77,0,17.02,17.02,50,0,0,-,18.44,55.32,25,0,0,-,0,80,0.8,0,0,25.53,51.06,0,0,0,25.53,0
2015,Max Friberg,ANA,R,1,8.783333333,8.783333333,47.82,95.64,33.33,34.16,81.97,29.41,13.66,27.32,33.33,0,0,-,13.66,40.99,25,0,13.66,0,0,0,-,18.22,36.43,33.33,0,0,-,49.34,69.07,41.67,0,0,-,0,100,1,13.66,6.83,6.83,54.65,66.67,34.16,6.83,13.66,71.43
2015,Dana Tyrell,CBJ,C,3,20.81666667,6.938888889,37.47,92.23,28.89,20.18,72.06,21.88,14.41,54.76,20.83,0,2.88,0,20.18,43.23,31.82,5.76,25.94,18.18,0,2.88,0,19.22,23.06,45.45,0,0,-,16.65,54.12,23.53,0,0,-,0,94.74,0.947,14.41,8.65,0,37.47,100,25.94,20.18,14.41,64.29
2015,Tyler Gaudet,ARI,C,2,19.15,9.575,28.2,90.86,23.68,25.07,59.53,29.63,15.67,34.46,31.25,0,6.27,0,6.27,34.46,15.38,0,12.53,0,0,0,-,8.36,29.24,22.22,0,4.18,0,22.63,67.89,25,0,4.53,0,0,81.82,0.818,3.13,28.2,6.27,47,33.33,6.27,31.33,15.67,28.57
2015,Tom Sestito,VAN,L,3,18.71666667,6.238888889,35.26,89.76,28.21,35.26,60.91,36.67,19.23,54.5,26.09,3.21,0,100,19.23,35.26,35.29,19.23,12.82,60,3.21,0,100,0,29.92,0,0,0,-,18.52,69.46,21.05,0,0,-,16.67,100,1.167,9.62,19.23,6.41,57.7,60,9.62,19.23,22.44,30
2015,Jordan Szwarz,ARI,R,9,121.2166667,13.46851852,33.66,89.1,27.42,25.24,70.78,26.29,19.8,49.5,28.57,0.99,2.47,28.57,12.87,49.99,20.47,6.43,24.75,20.63,0,1.98,0,8.58,33.66,20.31,1.32,0,100,24.31,50.76,32.38,0,0.71,0,5,95,1,4.45,15.34,21.78,42.07,16.98,7.92,19.3,35.64,18.18
2015,Ryan Craig,CBJ,C,2,14.55,7.275,49.48,86.6,36.36,37.11,74.23,33.33,32.99,61.86,34.78,4.12,4.12,50,24.74,41.24,37.5,12.37,16.49,42.86,0,0,-,16.49,32.99,33.33,5.5,5.5,50,35.74,59.56,37.5,0,0,-,12.5,93.33,1.058,20.62,20.62,8.25,45.36,71.43,20.62,28.87,16.49,55.56
2015,Andrew Agozzino,COL,L,1,9.75,9.75,49.23,86.15,36.36,43.08,55.38,43.75,30.77,36.92,45.45,6.15,0,100,18.46,36.92,33.33,6.15,18.46,25,0,0,-,16.41,24.62,40,8.21,0,100,44.44,53.33,45.45,0,0,-,20,100,1.2,12.31,12.31,12.31,49.23,50,30.77,24.62,30.77,50
