"Year","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"2017","Connor McDavid","EDM","C","82","1416.7166666667","25","45","32","13","70","80.46","213","11.74","345","283","257","140","11","30","18","9","9","0","0","48","42","65","32","109","23","325","428","43.16"
"2017","Patrick Kane","CHI","R","82","1466.7166666667","27","39","27","12","66","76.74","225","12.00","374","294","187","68","11","15","26","13","13","0","0","20","35","45","26","119","14","4","27","12.90"
"2017","Mark Scheifele","WPG","C","79","1325.0666666667","25","40","23","17","65","72.22","118","21.19","208","165","155","83","7","12","24","12","12","0","0","26","28","58","48","141","30","513","658","43.81"
"2017","Sidney Crosby","PIT","C","75","1210.0833333333","30","34","22","12","64","82.05","189","15.87","307","239","200","85","7","26","16","8","8","0","0","19","54","39","79","81","26","650","736","46.90"
"2017","Artemi Panarin","CHI","C, L","82","1335.6833333333","22","35","24","11","57","72.15","167","13.17","316","240","159","57","12","13","12","6","6","0","0","21","46","56","20","84","14","2","6","25.00"
"2017","Henrik Zetterberg","DET","L","82","1371.8833333333","15","40","28","12","55","77.46","159","9.43","265","204","122","40","1","11","20","10","10","0","0","16","30","37","54","83","29","595","580","50.64"
"2017","Brad Marchand","BOS","C, L","80","1189.8","26","29","18","11","55","77.46","169","15.38","318","242","182","76","14","14","59","28","27","1","0","21","71","54","45","103","27","10","21","32.26"
"2017","Vladimir Tarasenko","STL","R","82","1255.7666666667","30","23","11","12","53","82.81","224","13.39","397","302","221","67","10","17","10","5","5","0","0","18","26","27","49","89","30","4","5","44.44"
"2017","Nikita Kucherov","T.B","R","74","1190.7833333333","23","30","19","11","53","76.81","161","14.29","299","225","180","63","9","14","32","13","11","2","0","20","50","50","29","70","20","0","0","-"
"2017","Max Pacioretty","MTL","L","81","1256.3333333333","26","26","16","10","52","81.25","228","11.40","418","323","208","86","20","38","26","13","13","0","0","14","37","38","59","126","30","7","6","53.85"
"2017","Nicklas Backstrom","WSH","C","82","1188.3666666667","15","36","20","16","51","82.26","131","11.45","219","177","117","45","3","9","28","14","14","0","0","9","44","54","39","65","30","589","538","52.26"
"2017","Nikolaj Ehlers","WPG","L","82","1219.0833333333","19","32","17","15","51","71.83","163","11.66","309","239","152","64","10","11","26","13","13","0","0","39","41","36","42","82","26","0","4","0.00"
"2017","Ryan Getzlaf","ANA","C","74","1209.6","7","43","29","14","50","84.75","99","7.07","206","150","123","48","3","14","37","13","11","1","1","10","50","47","87","66","75","451","451","50.00"
"2017","Brent Burns","S.J","D","82","1602.2666666667","21","29","16","13","50","59.52","235","8.94","584","365","134","20","12","28","40","20","20","0","0","10","125","45","65","48","123","0","0","-"
"2017","Blake Wheeler","WPG","R","82","1296.0333333333","19","31","21","10","50","71.43","200","9.50","320","265","172","57","10","19","35","16","15","1","0","13","35","32","97","95","42","39","45","46.43"
"2017","Brandon Saad","CBJ","L","82","1225.8166666667","23","27","16","11","50","80.65","189","12.17","333","261","190","94","11","14","4","2","2","0","0","9","25","42","23","49","24","3","4","42.86"
"2017","Leon Draisaitl","EDM","C","82","1274.9666666667","19","31","19","12","50","71.43","120","15.83","207","166","143","79","12","17","18","9","9","0","0","20","62","66","38","83","35","386","406","48.74"
"2017","Patrik Laine","WPG","R","73","1108.05","27","23","11","12","50","69.44","146","18.49","256","207","128","36","11","8","20","10","10","0","0","11","46","41","79","55","33","0","3","0.00"
"2017","Evgeni Malkin","PIT","C","62","923.41666666667","22","27","20","7","49","80.33","120","18.33","193","157","140","63","3","12","58","28","28","0","0","18","39","49","38","76","25","353","474","42.68"
"2017","Conor Sheary","PIT","L","61","861.21666666667","21","27","11","16","48","80.00","135","15.56","217","174","151","72","7","16","20","10","10","0","0","14","19","26","29","89","23","0","0","-"
"2017","Auston Matthews","TOR","C","82","1241.0666666667","32","16","12","4","48","84.21","234","13.68","386","323","263","122","14","21","14","6","6","0","0","19","40","74","20","105","61","468","545","46.20"
"2017","Eric Staal","MIN","C","82","1218.5","23","24","16","8","47","69.12","162","14.20","277","215","166","74","14","16","32","16","16","0","0","14","22","42","40","58","31","471","493","48.86"
"2017","Charlie Coyle","MIN","C","82","1163.95","14","33","24","9","47","74.60","139","10.07","233","188","125","69","13","17","24","8","7","0","1","19","30","27","97","68","60","94","108","46.53"
"2017","Jeff Skinner","CAR","C, L","79","1218.9666666667","29","18","13","5","47","71.21","225","12.89","399","304","226","110","14","32","20","10","10","0","0","31","55","57","32","83","27","8","16","33.33"
"2017","John Tavares","NYI","C","77","1259.5","20","26","14","12","46","66.67","182","10.99","340","255","224","98","14","15","36","18","18","0","0","29","67","52","40","60","17","603","633","48.79"
"2017","Jason Zucker","MIN","L","79","1139.15","21","25","16","9","46","65.71","166","12.65","285","238","166","75","4","17","26","13","13","0","0","31","22","38","71","87","39","1","3","25.00"
"2017","Jaden Schwartz","STL","C, L","78","1184.15","16","30","20","10","46","69.70","135","11.85","240","187","157","66","12","18","16","8","8","0","0","9","25","55","68","100","35","52","53","49.52"
"2017","Filip Forsberg","NSH","L","82","1181.4833333333","25","21","13","8","46","80.70","177","14.12","355","276","197","76","23","23","26","12","12","0","0","21","43","55","90","75","19","5","12","29.41"
"2017","David Pastrnak","BOS","R","75","1148.6666666667","24","22","15","7","46","73.02","197","12.18","352","273","174","85","12","19","28","14","14","0","0","31","51","49","69","111","32","2","1","66.67"
"2017","Joe Pavelski","S.J","C","81","1255.6166666667","21","24","12","12","45","71.43","174","12.07","305","248","219","112","11","14","26","11","11","0","0","17","70","29","124","64","70","346","321","51.87"
"2017","Mats Zuccarello","NYR","C, R","80","1252.9333333333","10","35","19","16","45","70.31","136","7.35","241","185","125","50","12","7","20","10","10","0","0","20","40","61","82","84","48","4","5","44.44"
"2017","Evgeny Kuznetsov","WSH","C","82","1222.4833333333","16","29","16","13","45","69.23","146","10.96","269","204","164","67","7","15","38","19","19","0","0","21","49","43","57","56","18","413","551","42.84"
"2017","Mikael Granlund","MIN","C","81","1224.2333333333","16","29","21","8","45","66.18","147","10.88","257","197","136","56","12","12","8","4","4","0","0","19","23","36","48","121","36","13","12","52.00"
"2017","Johnny Gaudreau","CGY","L","72","1098.8333333333","14","31","23","8","45","91.84","135","10.37","219","174","130","58","7","12","2","1","1","0","0","34","65","40","9","36","14","0","0","-"
"2017","J.T. Miller","NYR","C, L","82","1120.2833333333","17","28","18","10","45","76.27","110","15.45","189","155","109","53","8","9","12","6","6","0","0","10","44","40","96","96","45","128","159","44.60"
"2017","Viktor Arvidsson","NSH","L","80","1126.3833333333","22","23","12","11","45","69.23","210","10.48","354","290","187","80","13","12","26","13","13","0","0","21","23","30","20","146","36","3","9","25.00"
"2017","Josh Bailey","NYI","C, R","82","1244.2","10","34","25","9","44","63.77","135","7.41","242","178","137","62","9","13","12","5","5","0","0","10","45","52","34","65","44","3","3","50.00"
"2017","Nazem Kadri","TOR","C","82","1175.35","20","24","13","11","44","77.19","198","10.10","352","269","198","84","15","18","61","25","23","1","1","25","49","58","121","178","31","509","560","47.61"
"2017","Jeff Carter","L.A","C","82","1118.2833333333","21","22","17","5","43","78.18","189","11.11","341","261","175","70","11","29","34","17","17","0","0","12","35","20","84","54","30","613","538","53.26"
"2017","Alex Ovechkin","WSH","L","82","1199.0833333333","16","27","15","12","43","68.25","214","7.48","413","305","190","73","23","27","44","22","22","0","0","19","38","25","209","69","27","0","1","0.00"
"2017","James van Riemsdyk","TOR","L","82","1102.2666666667","23","20","10","10","43","75.44","187","12.30","312","248","196","72","13","14","28","14","14","0","0","15","20","37","60","105","29","1","3","25.00"
"2017","Tyler Seguin","DAL","C","82","1251.0333333333","15","28","18","10","43","71.67","210","7.14","357","282","192","68","6","20","22","11","11","0","0","12","32","37","60","30","26","368","358","50.69"
"2017","Nino Niederreiter","MIN","R","82","1070.5333333333","17","26","20","6","43","72.88","150","11.33","241","183","136","64","8","17","33","15","14","1","0","22","24","31","116","99","20","0","0","-"
"2017","Jamie Benn","DAL","L","77","1138.25","13","29","16","13","42","80.77","137","9.49","255","187","143","64","17","20","35","16","15","1","0","16","47","48","82","47","39","126","114","52.50"
"2017","Erik Karlsson","OTT","D","77","1617.05","13","29","13","16","42","56.76","162","8.02","375","248","97","19","9","29","22","11","11","0","0","17","86","51","50","79","179","0","0","-"
"2017","Jonathan Toews","CHI","C","72","1164.9166666667","15","26","17","9","41","67.21","157","9.55","253","202","156","71","7","13","29","13","12","1","0","15","32","35","39","112","26","656","542","54.76"
"2017","Vincent Trocheck","FLA","C","82","1327.15","21","20","7","13","41","69.49","187","11.23","336","263","173","64","11","18","22","11","11","0","0","29","57","56","156","117","42","658","654","50.15"
"2017","Jason Pominville","MIN","R","78","949.75","13","27","17","10","40","81.63","163","7.98","266","214","116","55","10","24","4","2","2","0","0","9","12","18","40","75","32","33","34","49.25"
"2017","David Krejci","BOS","C","82","1248.6666666667","15","25","20","5","40","72.73","118","12.71","221","170","134","61","14","10","26","12","12","0","0","13","45","56","39","103","47","590","566","51.04"
"2017","T.J. Oshie","WSH","R","68","948.38333333333","25","15","10","5","40","64.52","96","26.04","173","146","115","62","4","10","28","14","14","0","0","21","27","39","87","87","45","28","36","43.75"
"2017","Phil Kessel","PIT","C, R","82","1177.5666666667","15","25","14","11","40","70.18","172","8.72","288","215","140","46","8","17","12","6","6","0","0","10","41","14","11","36","15","4","10","28.57"
"2017","Chris Kreider","NYR","C, L","75","1080","22","18","11","7","40","74.07","148","14.86","257","214","168","92","15","10","47","22","21","1","0","16","27","17","129","80","30","4","4","50.00"
"2017","Mark Stone","OTT","R","71","1095.0666666667","16","24","13","11","40","70.18","109","14.68","191","150","114","51","6","10","16","8","8","0","0","18","35","90","43","63","51","6","6","50.00"
"2017","Sean Monahan","CGY","C","82","1151.4333333333","18","22","10","12","40","78.43","145","12.41","253","192","167","78","4","16","16","8","8","0","0","7","36","47","33","29","24","574","560","50.62"
"2017","Bo Horvat","VAN","C","81","1155.4666666667","15","25","17","8","40","76.92","132","11.36","241","201","162","75","8","14","20","10","10","0","0","12","19","33","62","66","35","589","596","49.70"
"2017","Mitchell Marner","TOR","C","77","1103.2666666667","15","25","15","10","40","70.18","137","10.95","259","209","170","59","16","15","34","16","16","0","0","18","45","62","39","89","37","10","18","35.71"
"2017","Radim Vrbata","ARI","R","81","1129.2333333333","15","24","15","9","39","84.78","166","9.04","286","216","132","30","6","12","14","7","7","0","0","5","25","30","45","43","29","7","23","23.33"
"2017","Gustav Nyquist","DET","C, R","76","1108.6","10","29","18","11","39","70.91","135","7.41","240","186","143","65","4","16","8","4","4","0","0","15","26","28","53","63","18","4","0","100.00"
"2017","Marcus Johansson","WSH","L","82","1157.95","19","20","14","6","39","60.00","112","16.96","188","137","116","42","4","13","10","5","5","0","0","15","38","36","29","100","21","8","8","50.00"
"2017","Jakob Silfverberg","ANA","R","79","1177.6333333333","17","22","13","9","39","73.58","190","8.95","318","249","193","77","21","23","18","9","9","0","0","13","30","35","44","121","40","0","3","0.00"
"2017","Victor Hedman","T.B","D","79","1537.0333333333","12","27","16","11","39","51.32","115","10.43","299","199","70","13","2","14","35","16","15","1","0","15","64","34","81","113","114","0","0","-"
"2017","Rickard Rakell","ANA","C, R","71","1074.7333333333","28","11","8","3","39","73.58","143","19.58","273","213","168","76","7","21","10","5","5","0","0","5","33","23","76","94","31","57","80","41.61"
"2017","Justin Williams","WSH","R","80","1041.4333333333","19","19","7","12","38","74.51","142","13.38","235","189","123","64","2","14","44","22","22","0","0","12","38","30","24","121","39","19","23","45.24"
"2017","Duncan Keith","CHI","D","80","1600.4166666667","4","34","14","20","38","45.24","137","2.92","289","186","53","2","1","14","12","6","6","0","0","1","61","24","21","76","88","0","0","-"
"2017","Ryan Kesler","ANA","C","82","1291.95","14","24","16","8","38","65.52","133","10.53","264","203","163","85","7","15","57","23","21","1","1","22","34","16","132","98","58","729","532","57.81"
"2017","Alexander Radulov","MTL","R","76","1173.05","12","26","18","8","38","64.41","130","9.23","253","189","155","83","6","19","54","25","25","0","0","19","49","40","69","145","40","5","6","45.45"
"2017","Paul Byron","MTL","L","81","1015.8833333333","21","17","11","6","38","73.08","85","24.71","142","109","100","67","8","16","25","11","10","1","0","16","20","33","114","85","26","8","5","61.54"
"2017","Kyle Turris","OTT","C","78","1234.6","21","17","13","4","38","76.00","146","14.38","264","188","146","46","2","22","41","15","13","1","1","10","35","21","21","71","52","507","453","52.81"
"2017","Cam Atkinson","CBJ","R","82","1145.9666666667","22","16","13","3","38","70.37","191","11.52","314","236","176","69","11","27","20","10","10","0","0","6","15","27","27","39","27","1","1","50.00"
"2017","Tomas Tatar","DET","C, L","82","1220.5833333333","20","18","10","8","38","65.52","144","13.89","261","196","159","67","6","11","24","12","12","0","0","16","31","34","92","89","24","7","3","70.00"
"2017","Anders Lee","NYI","C, L","81","1063.7666666667","25","13","8","5","38","66.67","149","16.78","228","194","156","92","14","15","39","18","17","1","0","12","23","21","166","85","33","2","7","22.22"
"2017","Brock Nelson","NYI","C","81","1069.4666666667","19","19","9","10","38","77.55","138","13.77","252","175","157","62","10","14","30","14","14","0","0","21","39","40","46","74","46","298","396","42.94"
"2017","Taylor Hall","N.J","L","72","1174.0833333333","13","25","17","8","38","82.61","190","6.84","313","240","191","80","16","12","30","14","14","0","0","22","39","42","57","125","29","6","6","50.00"
