Year,Player,Team,Position,GP,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per
2019,Calle Rosen,TOR,D,4,0.1,0.025,0,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,0,-,0,0,-,0,0,-,0,0,-,-,0,0,0,0,600,0,0,0,0,600,0
2019,Miles Wood,N.J,L,63,0.2666666667,0.004232804233,0,450,0,0,450,0,0,450,0,0,0,-,0,450,0,0,225,0,0,0,-,0,300,0,0,0,-,0,0,-,0,0,-,-,100,1,0,225,0,225,-,0,225,0,-
2019,Nic Petan,"TOR, WPG","C, L",18,0.15,0.008333333333,0,400,0,0,400,0,0,0,-,0,0,-,0,400,0,0,0,-,0,0,-,0,533.33,0,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,400,-,0,0,0,-
2019,Carl Grundstrom,L.A,R,15,0.1833333333,0.01222222222,0,327.27,0,0,327.27,0,0,327.27,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,472.73,0,0,0,-,-,100,1,0,0,0,327.27,-,0,0,0,-
2019,Christian Djoos,WSH,D,45,1.083333333,0.02407407407,0,221.54,0,0,166.15,0,0,166.15,0,0,110.77,0,0,110.77,0,0,55.38,0,0,55.38,0,0,73.85,0,0,0,-,0,160,0,0,80,0,-,33.33,0.33,0,0,0,332.31,-,0,0,110.77,0
2019,Mark Alt,COL,D,2,0.8166666667,0.4083333333,0,220.41,0,0,73.47,0,0,73.47,0,0,0,-,0,73.47,0,0,0,-,0,0,-,0,97.96,0,0,0,-,0,106.12,0,0,0,-,-,100,1,0,0,0,73.47,-,0,0,0,-
2019,Daniel Brickley,L.A,D,4,0.85,0.2125,0,211.76,0,0,141.18,0,0,141.18,0,0,0,-,0,70.59,0,0,70.59,0,0,0,-,0,0,-,0,0,-,0,203.92,0,0,0,-,-,100,1,0,0,0,70.59,-,0,70.59,0,-
2019,Jacob Nilsson,CHI,C,2,1.983333333,0.9916666667,0,211.76,0,0,151.26,0,0,121.01,0,0,0,-,0,181.51,0,0,121.01,0,0,0,-,0,80.67,0,0,0,-,0,43.7,0,0,0,-,-,100,1,0,0,0,90.76,-,0,0,0,-
2019,Nicolas Roy,CAR,C,6,0.5833333333,0.09722222222,0,205.71,0,0,102.86,0,0,102.86,0,0,102.86,0,0,102.86,0,0,102.86,0,0,102.86,0,0,0,-,0,0,-,0,148.57,0,0,0,-,-,0,0,0,0,205.71,0,0,0,0,205.71,0
2019,Marko Dano,COL,C,8,0.3,0.0375,0,200,0,0,200,0,0,200,0,0,0,-,0,200,0,0,0,-,0,0,-,0,266.67,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,200,-,0,0,0,-
2019,Anthony Mantha,DET,R,67,0.3,0.00447761194,200,200,50,200,200,50,200,200,50,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,288.89,288.89,50,0,0,-,0,100,1,0,0,0,200,-,0,0,0,-
2019,Kyle Clifford,L.A,L,72,0.9166666667,0.01273148148,0,196.36,0,0,196.36,0,0,196.36,0,0,65.45,0,0,196.36,0,0,65.45,0,0,0,-,0,174.55,0,0,87.27,0,0,0,-,0,0,-,-,66.67,0.67,0,0,0,327.27,-,0,0,0,-
2019,Ondrej Kase,ANA,R,30,0.6333333333,0.02111111111,94.74,189.47,33.33,94.74,189.47,33.33,94.74,94.74,50,0,0,-,0,189.47,0,0,94.74,0,0,0,-,0,126.32,0,0,0,-,0,0,-,0,0,-,0,100,1,0,0,0,189.47,-,0,0,0,-
2019,Dominik Simon,PIT,C,71,0.3166666667,0.004460093897,0,189.47,0,0,189.47,0,0,189.47,0,0,0,-,0,189.47,0,0,0,-,0,0,-,0,252.63,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,568.42,-,0,0,0,-
2019,Matthew Tkachuk,CGY,L,80,0.6333333333,0.007916666667,284.21,189.47,60,94.74,189.47,33.33,94.74,189.47,33.33,0,94.74,0,189.47,189.47,50,94.74,94.74,50,0,0,-,126.32,126.32,50,0,126.32,0,136.84,0,100,0,0,-,0,50,0.5,94.74,0,0,378.95,100,189.47,0,0,100
2019,Nathan Walker,WSH,L,3,1.283333333,0.4277777778,46.75,187.01,20,46.75,93.51,33.33,46.75,46.75,50,0,46.75,0,46.75,140.26,25,0,93.51,0,0,46.75,0,62.34,62.34,50,0,0,-,0,67.53,0,0,0,-,0,0,0,0,46.75,0,93.51,-,0,46.75,0,-
2019,Nick Bjugstad,"FLA, PIT",C,64,1.65,0.02578125,0,181.82,0,0,145.45,0,0,145.45,0,0,36.36,0,0,72.73,0,0,72.73,0,0,0,-,0,0,-,0,0,-,0,105.05,0,0,0,-,-,75,0.75,0,0,109.09,36.36,0,0,0,145.45,0
2019,Travis Konecny,PHI,"C, R",82,1,0.01219512195,0,180,0,0,60,0,0,60,0,0,0,-,0,60,0,0,60,0,0,0,-,0,0,-,0,0,-,0,173.33,0,0,0,-,-,100,1,0,0,0,240,-,0,0,60,0
2019,Robby Fabbri,STL,C,32,0.6833333333,0.02135416667,0,175.61,0,0,87.8,0,0,0,-,0,0,-,0,87.8,0,0,87.8,0,0,0,-,0,0,-,0,0,-,0,126.83,0,0,0,-,-,-,-,0,0,0,351.22,-,0,0,0,-
