Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2019,Michael Grabner,ARI,R,41,96.66666667,6,3,2,1,9,90,12,50,17,16,11,6,3,0,0,0,0,0,0,1,3,5,5,3,4,4,6,40
2019,Mark Jankowski,CGY,C,79,152.7833333,5,3,3,0,8,66.67,15,33.33,19,17,15,10,3,3,0,0,0,0,0,1,0,12,1,4,11,49,55,47.12
2019,Patrice Bergeron,BOS,C,65,109.9666667,4,3,3,0,7,100,9,44.44,19,16,11,5,3,0,4,2,2,0,0,1,1,2,2,1,8,79,72,52.32
2019,Brad Marchand,BOS,L,79,123.9666667,3,4,3,1,7,100,10,30,16,14,12,5,1,1,43,8,4,1,3,6,8,9,4,6,8,1,6,14.29
2019,Brad Richardson,ARI,C,66,168.0333333,3,3,3,0,6,60,11,27.27,14,12,10,7,2,1,2,1,1,0,0,1,3,4,4,4,13,95,93,50.53
2019,Mark Giordano,CGY,D,78,206.9666667,4,2,0,2,6,54.55,6,66.67,11,8,5,4,0,2,2,1,1,0,0,2,9,9,5,3,32,0,0,-
2019,Anthony Cirelli,T.B,C,82,222.5333333,5,1,1,0,6,85.71,14,35.71,20,18,15,10,4,1,6,3,3,0,0,6,1,14,0,8,15,87,79,52.41
2019,Brent Burns,S.J,D,82,165.5,1,4,2,2,5,100,9,11.11,14,12,5,2,1,0,4,2,2,0,0,4,15,14,12,3,8,0,1,0
2019,Blake Coleman,N.J,C,78,210,3,2,2,0,5,100,25,12,39,32,22,8,6,2,15,6,5,1,0,4,3,16,16,6,12,40,68,37.04
2019,Vladislav Namestnikov,NYR,C,78,128.35,2,3,3,0,5,100,15,13.33,17,17,14,9,1,1,4,2,2,0,0,4,2,2,7,3,12,5,2,71.43
2019,Teuvo Teravainen,CAR,L,82,73.76666667,1,4,4,0,5,100,8,12.5,10,10,8,7,3,0,0,0,0,0,0,0,1,6,0,0,2,0,1,0
2019,Sebastian Aho,CAR,"C, R",82,92.11666667,4,1,1,0,5,100,9,44.44,13,12,11,8,0,1,0,0,0,0,0,2,0,7,2,0,2,28,40,41.18
2019,Matt Cullen,PIT,C,71,158,2,2,2,0,4,100,13,15.38,17,16,8,3,1,0,2,1,1,0,0,1,1,7,4,2,7,76,74,50.67
