Year,Player,Team,Position,GP,PPTOI,PPTOI_GP,PPCF_60,PPCA_60,PPCFPer,PPFF_60,PPFA_60,PPFFPer,PPSF_60,PPSA_60,PPSFPer,PPGF_60,PPGA_60,PPGFPer,PPSCF_60,PPSCA_60,PPSCFPer,PPHDCF_60,PPHDCA_60,PPHDCFPer,PPHDGF_60,PPHDGA_60,PPHDGFPer,PPMDCF_60,PPMDCA_60,PPMDCFPer,PPMDGF_60,PPMDGA_60,PPMDGFPer,PPLDCF_60,PPLDCA_60,PPLDCFPer,PPLDGF_60,PPLDGA_60,PPLDGFPer,PPOn-Ice SHPer,PPOn-Ice SVPer,PPPDO,PPOff. Zone Faceoffs_60,PPNeu. Zone Faceoffs_60,PPDef. Zone Faceoffs_60,PPOnTFStarts_60,PPOffZoneStartPer,PPOffZoneFaceoffs_60,PPNeuZoneFaceoffs_60,PPDefZoneFaceoffs_60,PPOff. Zone Faceoff Per
2019,Danick Martel,T.B,L,9,0.15,0.01666666667,0,400,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,577.78,0,0,0,-,-,-,-,0,0,0,400,-,0,0,0,-
2019,Fredrik Claesson,NYR,D,37,0.1833333333,0.004954954955,0,327.27,0,0,327.27,0,0,327.27,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,0,327.27,0,654.55,-,0,327.27,0,-
2019,Vitaly Abramov,OTT,R,1,0.85,0.85,141.18,211.76,40,141.18,141.18,50,70.59,141.18,33.33,0,70.59,0,70.59,211.76,25,0,211.76,0,0,70.59,0,94.12,0,100,0,0,-,101.96,0,100,0,0,-,0,50,0.5,70.59,0,0,70.59,100,70.59,70.59,0,100
2019,John Gilmour,NYR,D,5,0.6333333333,0.1266666667,0,189.47,0,0,189.47,0,0,189.47,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,189.47,0,0,94.74,100,189.47,0,0,100
2019,Maxim Mamin,FLA,C,7,0.7833333333,0.1119047619,0,153.19,0,0,76.6,0,0,76.6,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,0,76.6,0,229.79,-,0,76.6,0,-
2019,Dalton Prout,CGY,D,20,0.4333333333,0.02166666667,0,138.46,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,200,0,0,0,-,-,-,-,0,0,0,415.38,-,0,0,0,-
2019,Tom Pyatt,OTT,L,37,0.9666666667,0.02612612613,0,124.14,0,0,124.14,0,0,62.07,0,0,0,-,0,62.07,0,0,0,-,0,0,-,0,82.76,0,0,0,-,0,89.66,0,0,0,-,-,100,1,0,0,0,434.48,-,0,0,0,-
2019,Austin Watson,NSH,L,37,2.583333333,0.06981981982,162.58,116.13,58.33,116.13,92.9,55.56,69.68,69.68,50,23.23,23.23,50,139.35,46.45,75,46.45,23.23,66.67,23.23,23.23,50,123.87,30.97,80,0,0,-,33.55,67.1,33.33,0,0,-,33.33,66.67,1,69.68,69.68,23.23,116.13,75,69.68,69.68,23.23,75
2019,Dryden Hunt,FLA,L,31,2.65,0.08548387097,67.92,113.21,37.5,67.92,113.21,37.5,22.64,113.21,16.67,22.64,0,100,22.64,90.57,20,0,45.28,0,0,0,-,30.19,60.38,33.33,30.19,0,100,65.41,0,100,0,0,-,100,100,2,45.28,22.64,0,181.13,100,67.92,45.28,0,100
2019,Nick Paul,OTT,L,20,0.5333333333,0.02666666667,0,112.5,0,0,112.5,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,162.5,0,0,0,-,-,-,-,112.5,112.5,0,0,100,112.5,112.5,0,100
2019,Nate Prosser,MIN,D,15,0.55,0.03666666667,0,109.09,0,0,109.09,0,0,109.09,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,109.09,-,109.09,0,0,100
2019,Colin Blackwell,NSH,C,6,0.55,0.09166666667,109.09,109.09,50,0,109.09,0,0,0,-,0,0,-,109.09,0,100,0,0,-,0,0,-,145.45,0,100,0,0,-,0,157.58,0,0,0,-,-,-,-,109.09,0,109.09,0,50,109.09,0,109.09,50
2019,Cooper Marody,EDM,C,6,0.55,0.09166666667,0,109.09,0,0,109.09,0,0,109.09,0,0,109.09,0,0,109.09,0,0,0,-,0,0,-,0,145.45,0,0,145.45,0,0,0,-,0,0,-,-,0,0,109.09,0,109.09,0,50,109.09,0,109.09,50
2019,Erik Burgdoerfer,OTT,D,4,0.6,0.15,0,100,0,0,100,0,0,100,0,0,0,-,0,100,0,0,0,-,0,0,-,0,133.33,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,100,-,0,0,0,-
2019,Calle Rosen,TOR,D,4,1.933333333,0.4833333333,62.07,93.1,40,31.03,93.1,25,0,62.07,0,0,0,-,62.07,0,100,0,0,-,0,0,-,82.76,0,100,0,0,-,0,134.48,0,0,0,-,-,100,1,31.03,0,31.03,62.07,50,31.03,31.03,62.07,33.33
2019,Xavier Ouellet,MTL,D,19,1.416666667,0.07456140351,42.35,84.71,33.33,0,84.71,0,0,42.35,0,0,0,-,0,42.35,0,0,0,-,0,0,-,0,56.47,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,296.47,-,0,0,0,-
2019,Andrej Sustr,ANA,D,5,0.7166666667,0.1433333333,83.72,83.72,50,83.72,83.72,50,83.72,83.72,50,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,120.93,0,100,0,0,-,0,100,1,83.72,0,0,83.72,100,83.72,0,0,100
2019,Yannick Weber,NSH,D,62,4.566666667,0.07365591398,78.83,78.83,50,65.69,78.83,45.45,39.42,78.83,33.33,0,13.14,0,52.55,52.55,50,26.28,39.42,40,0,13.14,0,35.04,17.52,66.67,0,0,-,37.96,37.96,50,0,0,-,0,83.33,0.833,13.14,13.14,26.28,78.83,33.33,39.42,13.14,39.42,50
2019,Brooks Orpik,WSH,D,53,0.7833333333,0.01477987421,76.6,76.6,50,76.6,76.6,50,76.6,76.6,50,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,110.64,0,100,0,0,-,0,100,1,0,0,0,76.6,-,0,0,0,-
2019,Deryk Engelland,VGK,D,74,5.133333333,0.06936936937,58.44,70.13,45.45,35.06,58.44,37.5,11.69,46.75,20,0,0,-,23.38,23.38,50,23.38,0,100,0,0,-,0,31.17,0,0,0,-,33.77,50.65,40,0,0,-,0,100,1,93.51,35.06,0,140.26,100,93.51,35.06,0,100
2019,Anton Stralman,T.B,D,47,4.3,0.0914893617,69.77,69.77,50,55.81,69.77,44.44,41.86,69.77,37.5,13.95,0,100,55.81,55.81,50,13.95,55.81,20,0,0,-,55.81,0,100,18.6,0,100,20.16,0,100,0,0,-,33.33,100,1.333,27.91,0,13.95,181.4,66.67,41.86,13.95,27.91,60
2019,Nic Dowd,WSH,C,64,0.8833333333,0.01380208333,67.92,67.92,50,0,67.92,0,0,67.92,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,98.11,98.11,50,0,0,-,-,100,1,135.85,67.92,0,271.7,100,135.85,67.92,0,100
2019,Cedric Paquette,T.B,C,80,2.666666667,0.03333333333,22.5,67.5,25,22.5,22.5,50,22.5,0,100,0,0,-,22.5,0,100,22.5,0,100,0,0,-,0,0,-,0,0,-,0,97.5,0,0,0,-,0,-,0,0,45,22.5,180,0,0,67.5,22.5,0
2019,Brandon Manning,"CHI, EDM",D,39,1.916666667,0.04914529915,0,62.61,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,62.61,62.61,0,156.52,100,62.61,62.61,0,100
2019,Trent Frederic,BOS,C,15,5.083333333,0.3388888889,59.02,59.02,50,47.21,59.02,44.44,35.41,47.21,42.86,11.8,0,100,47.21,35.41,57.14,23.61,11.8,66.67,11.8,0,100,31.48,31.48,50,0,0,-,17.05,17.05,50,0,0,-,33.33,100,1.333,11.8,23.61,11.8,59.02,50,11.8,23.61,11.8,50
2019,Juho Lammikko,FLA,R,40,3.066666667,0.07666666667,97.83,58.7,62.5,78.26,58.7,57.14,39.13,39.13,50,0,0,-,58.7,0,100,19.57,0,100,0,0,-,52.17,0,100,0,0,-,28.26,28.26,50,0,0,-,0,100,1,39.13,19.57,19.57,254.35,66.67,39.13,39.13,39.13,50
2019,Michael Grabner,ARI,R,41,4.133333333,0.1008130081,72.58,58.06,55.56,29.03,43.55,40,0,14.52,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,41.94,62.9,40,0,0,-,-,100,1,58.06,0,14.52,72.58,80,58.06,0,29.03,66.67
2019,Chandler Stephenson,WSH,C,64,1.05,0.01640625,57.14,57.14,50,57.14,57.14,50,57.14,57.14,50,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,82.54,0,100,0,0,-,0,100,1,57.14,57.14,0,171.43,100,114.29,57.14,0,100
2019,Greg Pateryn,MIN,D,80,3.2,0.04,112.5,56.25,66.67,93.75,37.5,71.43,56.25,37.5,60,18.75,0,100,56.25,18.75,75,56.25,18.75,75,18.75,0,100,0,0,-,0,0,-,81.25,54.17,60,0,0,-,33.33,100,1.333,93.75,56.25,56.25,150,62.5,112.5,56.25,56.25,66.67
2019,Miikka Salomaki,NSH,R,37,1.1,0.02972972973,109.09,54.55,66.67,54.55,54.55,50,54.55,54.55,50,0,0,-,109.09,0,100,0,0,-,0,0,-,145.45,0,100,0,0,-,0,78.79,0,0,0,-,0,100,1,218.18,163.64,54.55,218.18,80,218.18,163.64,54.55,80
2019,Josh Brown,FLA,D,37,1.133333333,0.03063063063,52.94,52.94,50,52.94,52.94,50,0,52.94,0,0,0,-,0,52.94,0,0,52.94,0,0,0,-,0,0,-,0,0,-,76.47,0,100,0,0,-,-,100,1,52.94,0,0,158.82,100,105.88,0,0,100
2019,Colton Sceviour,FLA,C,59,3.516666667,0.05960451977,34.12,51.18,40,34.12,51.18,40,34.12,51.18,40,17.06,0,100,34.12,34.12,50,17.06,17.06,50,17.06,0,100,22.75,22.75,50,0,0,-,0,24.64,0,0,0,-,50,100,1.5,85.31,51.18,17.06,221.8,83.33,85.31,51.18,34.12,71.43
2019,Matt Hendricks,"MIN, WPG",C,26,1.2,0.04615384615,50,50,50,50,50,50,50,50,50,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,100,1,0,50,0,100,-,100,100,0,100
2019,Nathan Walker,WSH,L,3,1.216666667,0.4055555556,147.95,49.32,75,98.63,49.32,66.67,49.32,49.32,50,0,0,-,98.63,49.32,66.67,49.32,49.32,50,0,0,-,65.75,0,100,0,0,-,71.23,0,100,0,0,-,0,100,1,49.32,0,0,0,100,49.32,0,0,100
2019,Ron Hainsey,TOR,D,81,3.683333333,0.04547325103,97.74,48.87,66.67,81.45,48.87,62.5,65.16,16.29,80,16.29,0,100,65.16,16.29,80,16.29,0,100,0,0,-,65.16,21.72,75,21.72,0,100,47.06,23.53,66.67,0,0,-,25,100,1.25,97.74,48.87,0,244.34,100,97.74,65.16,32.58,75
2019,Mark Pysyk,FLA,D,70,3.783333333,0.05404761905,63.44,47.58,57.14,63.44,47.58,57.14,47.58,47.58,50,15.86,0,100,31.72,31.72,50,15.86,15.86,50,15.86,0,100,21.15,21.15,50,0,0,-,22.91,22.91,50,0,0,-,33.33,100,1.333,31.72,15.86,31.72,206.17,50,47.58,15.86,31.72,60
2019,Blake Comeau,DAL,L,77,3.883333333,0.05043290043,15.45,46.35,25,0,46.35,0,0,30.9,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,22.32,0,100,0,0,-,-,100,1,46.35,61.8,30.9,154.51,60,46.35,61.8,46.35,50
2019,Par Lindholm,"TOR, WPG",C,65,3.9,0.06,46.15,46.15,50,30.77,46.15,40,15.38,46.15,25,0,0,-,0,15.38,0,0,15.38,0,0,0,-,0,0,-,0,0,-,44.44,22.22,66.67,0,0,-,0,100,1,123.08,15.38,0,246.15,100,123.08,30.77,30.77,80
2019,Boo Nieves,NYR,C,43,1.316666667,0.03062015504,45.57,45.57,50,45.57,45.57,50,0,45.57,0,0,0,-,45.57,0,100,45.57,0,100,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,45.57,45.57,0,136.71,100,45.57,45.57,0,100
2019,Kristian Vesalainen,WPG,L,5,1.333333333,0.2666666667,45,45,50,45,45,50,45,0,100,0,0,-,45,0,100,45,0,100,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,-,0,0,45,0,45,-,45,45,0,100
2019,Radko Gudas,PHI,D,77,1.35,0.01753246753,44.44,44.44,50,44.44,44.44,50,44.44,44.44,50,44.44,0,100,44.44,0,100,0,0,-,0,0,-,59.26,0,100,59.26,0,100,0,64.2,0,0,0,-,100,100,2,133.33,88.89,44.44,311.11,75,133.33,88.89,88.89,60
2019,Mathieu Joseph,T.B,R,70,13.58333333,0.194047619,57.42,44.17,56.52,53.01,35.34,60,17.67,35.34,33.33,4.42,0,100,35.34,22.09,61.54,4.42,0,100,0,0,-,41.23,29.45,58.33,5.89,0,100,31.9,19.14,62.5,0,0,-,25,100,1.25,17.67,17.67,4.42,101.6,80,17.67,26.5,8.83,66.67
2019,Joel Hanley,DAL,D,16,2.75,0.171875,0,43.64,0,0,43.64,0,0,21.82,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,31.52,0,0,0,-,-,100,1,0,0,21.82,130.91,0,0,0,21.82,0
2019,Nathan Bastian,N.J,R,7,12.46666667,1.780952381,77.01,43.32,64,67.38,33.69,66.67,52.94,28.88,64.71,0,0,-,48.13,24.06,66.67,24.06,4.81,83.33,0,0,-,32.09,25.67,55.56,0,0,-,41.71,20.86,66.67,0,0,-,0,100,1,43.32,4.81,4.81,9.63,90,72.19,19.25,14.44,83.33
2019,Joe Morrow,WPG,D,41,1.4,0.03414634146,42.86,42.86,50,42.86,42.86,50,42.86,0,100,0,0,-,42.86,0,100,42.86,0,100,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,-,0,85.71,42.86,0,0,100,128.57,42.86,0,100
2019,Sean Kuraly,BOS,C,71,4.233333333,0.05962441315,0,42.52,0,0,42.52,0,0,42.52,0,0,14.17,0,0,14.17,0,0,14.17,0,0,0,-,0,0,-,0,0,-,0,40.94,0,0,20.47,0,-,66.67,0.67,0,42.52,14.17,297.64,0,0,42.52,14.17,0
2019,Ryan Murphy,"MIN, N.J",D,3,2.866666667,0.9555555556,41.86,41.86,50,20.93,20.93,50,20.93,20.93,50,20.93,0,100,20.93,20.93,50,0,20.93,0,0,0,-,27.91,0,100,27.91,0,100,30.23,0,100,0,0,-,100,100,2,0,0,0,83.72,-,0,0,20.93,0
2019,Evan Bouchard,EDM,D,7,10.18333333,1.454761905,76.6,41.24,65,41.24,35.35,53.85,35.35,35.35,50,5.89,5.89,50,35.35,23.57,60,17.68,5.89,75,0,0,-,23.57,23.57,50,0,7.86,0,59.57,8.51,87.5,8.51,0,100,16.67,83.33,1,11.78,5.89,0,70.7,100,23.57,5.89,5.89,80
2019,Ryan Callahan,T.B,R,52,5.9,0.1134615385,91.53,40.68,69.23,71.19,10.17,87.5,40.68,0,100,10.17,0,100,61.02,10.17,85.71,20.34,0,100,10.17,0,100,54.24,13.56,80,0,0,-,44.07,44.07,50,0,0,-,25,-,0.25,20.34,30.51,10.17,71.19,66.67,30.51,30.51,10.17,75
2019,Josh Archibald,ARI,R,68,5.9,0.08676470588,61.02,40.68,60,50.85,30.51,62.5,40.68,20.34,66.67,0,0,-,20.34,10.17,66.67,20.34,0,100,0,0,-,0,13.56,0,0,0,-,58.76,29.38,66.67,0,0,-,0,100,1,40.68,20.34,0,122.03,100,50.85,20.34,0,100
2019,Dan Hamhuis,NSH,D,57,1.55,0.02719298246,0,38.71,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,55.91,0,0,0,-,-,-,-,38.71,154.84,38.71,154.84,50,38.71,154.84,38.71,50
2019,Kevin Connauton,ARI,D,50,6.2,0.124,67.74,38.71,63.64,48.39,38.71,55.56,29.03,19.35,60,0,0,-,19.35,19.35,50,9.68,0,100,0,0,-,12.9,25.81,33.33,0,0,-,55.91,13.98,80,0,0,-,0,100,1,19.35,19.35,9.68,96.77,66.67,38.71,19.35,9.68,80
2019,Roman Polak,DAL,D,77,3.116666667,0.04047619048,19.25,38.5,33.33,19.25,38.5,33.33,0,38.5,0,0,0,-,19.25,0,100,0,0,-,0,0,-,25.67,0,100,0,0,-,0,0,-,0,0,-,-,100,1,38.5,96.26,38.5,250.27,50,38.5,96.26,38.5,50
2019,Mario Kempe,ARI,R,52,3.183333333,0.06121794872,37.7,37.7,50,37.7,37.7,50,18.85,18.85,50,0,0,-,18.85,18.85,50,18.85,18.85,50,0,0,-,0,0,-,0,0,-,27.23,27.23,50,0,0,-,0,100,1,18.85,18.85,18.85,75.39,50,18.85,18.85,18.85,50
2019,Trevor Daley,DET,D,44,3.216666667,0.07310606061,37.31,37.31,50,0,18.65,0,0,18.65,0,0,0,-,18.65,0,100,0,0,-,0,0,-,24.87,0,100,0,0,-,26.94,26.94,50,0,0,-,-,100,1,55.96,55.96,0,130.57,100,74.61,74.61,0,100
2019,Brandon Dubinsky,CBJ,C,61,4.966666667,0.08142076503,24.16,36.24,40,24.16,12.08,66.67,24.16,0,100,0,0,-,12.08,12.08,50,12.08,12.08,50,0,0,-,0,0,-,0,0,-,17.45,17.45,50,0,0,-,0,-,0,96.64,24.16,24.16,96.64,80,120.81,24.16,36.24,76.92
2019,Phil Varone,PHI,C,47,1.683333333,0.03581560284,106.93,35.64,75,106.93,35.64,75,35.64,0,100,0,0,-,0,35.64,0,0,35.64,0,0,0,-,0,0,-,0,0,-,154.46,0,100,0,0,-,0,-,0,0,35.64,0,142.57,-,0,35.64,0,-
2019,Zack Smith,OTT,L,70,7.133333333,0.1019047619,42.06,33.64,55.56,16.82,33.64,33.33,16.82,25.23,40,0,0,-,16.82,16.82,50,0,8.41,0,0,0,-,22.43,11.21,66.67,0,0,-,36.45,24.3,60,0,0,-,0,100,1,50.47,50.47,8.41,134.58,85.71,50.47,67.29,8.41,85.71
2019,Jamie Oleksiak,"DAL, PIT",D,57,5.35,0.09385964912,33.64,33.64,50,22.43,33.64,40,22.43,33.64,40,0,22.43,0,22.43,33.64,40,0,22.43,0,0,22.43,0,29.91,14.95,66.67,0,0,-,16.2,0,100,0,0,-,0,33.33,0.333,67.29,11.21,0,100.93,100,67.29,11.21,11.21,85.71
2019,Erik Condra,DAL,R,6,7.2,1.2,108.33,33.33,76.47,50,25,66.67,41.67,8.33,83.33,0,0,-,50,33.33,60,33.33,8.33,80,0,0,-,22.22,33.33,40,0,0,-,72.22,0,100,0,0,-,0,100,1,41.67,8.33,0,41.67,100,41.67,8.33,0,100
2019,Joakim Nordstrom,BOS,C,70,7.316666667,0.1045238095,65.6,32.8,66.67,65.6,32.8,66.67,49.2,24.6,66.67,0,0,-,32.8,0,100,16.4,0,100,0,0,-,21.87,0,100,0,0,-,35.54,0,100,0,0,-,0,100,1,16.4,8.2,8.2,123.01,66.67,32.8,8.2,8.2,80
2019,Magnus Paajarvi,OTT,L,80,7.383333333,0.09229166667,40.63,32.51,55.56,24.38,32.51,42.86,16.25,24.38,40,0,0,-,16.25,8.13,66.67,0,8.13,0,0,0,-,21.67,0,100,0,0,-,35.21,23.48,60,0,0,-,0,100,1,40.63,24.38,8.13,97.52,83.33,48.76,40.63,8.13,85.71
2019,Antoine Roussel,VAN,L,65,3.7,0.05692307692,48.65,32.43,60,32.43,0,100,32.43,0,100,16.22,0,100,16.22,16.22,50,16.22,0,100,0,0,-,0,21.62,0,0,0,-,46.85,23.42,66.67,23.42,0,100,50,-,0.5,64.86,48.65,16.22,162.16,80,81.08,48.65,32.43,71.43
2019,Nikita Zaitsev,TOR,D,81,5.616666667,0.06934156379,53.41,32.05,62.5,32.05,21.36,60,21.36,21.36,50,0,0,-,21.36,21.36,50,0,10.68,0,0,0,-,28.49,14.24,66.67,0,0,-,30.86,15.43,66.67,0,0,-,0,100,1,32.05,21.36,10.68,352.52,75,42.73,21.36,21.36,66.67
2019,Drake Batherson,OTT,R,20,37.51666667,1.875833333,59.17,31.99,64.91,44.78,25.59,63.64,35.18,20.79,62.86,4.8,1.6,75,28.79,12.79,69.23,12.79,4.8,72.73,1.6,1.6,50,21.32,10.66,66.67,4.26,0,100,39.27,16.17,70.83,0,0,-,13.64,92.31,1.059,30.39,1.6,1.6,36.78,95,46.38,11.2,8,85.29
2019,Jordie Benn,MTL,D,81,1.9,0.02345679012,0,31.58,0,0,31.58,0,0,31.58,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,63.16,31.58,0,347.37,100,63.16,63.16,0,100
2019,Lawson Crouse,ARI,L,81,7.6,0.09382716049,102.63,31.58,76.47,71.05,31.58,69.23,47.37,23.68,66.67,0,0,-,23.68,15.79,60,7.89,0,100,0,0,-,21.05,21.05,50,0,0,-,91.23,0,100,0,0,-,0,100,1,47.37,23.68,0,86.84,100,71.05,23.68,0,100
2019,Jake McCabe,BUF,D,59,3.816666667,0.06468926554,47.16,31.44,60,31.44,31.44,50,15.72,31.44,33.33,0,0,-,0,31.44,0,0,31.44,0,0,0,-,0,0,-,0,0,-,45.41,0,100,0,0,-,0,100,1,15.72,94.32,0,235.81,100,15.72,94.32,0,100
2019,Jonny Brodzinski,L.A,L,13,3.833333333,0.2948717949,140.87,31.3,81.82,125.22,31.3,80,46.96,15.65,75,15.65,0,100,109.57,31.3,77.78,62.61,15.65,80,15.65,0,100,62.61,20.87,75,0,0,-,45.22,0,100,0,0,-,33.33,100,1.333,31.3,0,15.65,46.96,66.67,46.96,15.65,15.65,75
2019,Isac Lundestrom,ANA,C,15,5.883333333,0.3922222222,20.4,30.59,40,20.4,20.4,50,20.4,20.4,50,0,0,-,10.2,20.4,33.33,0,10.2,0,0,0,-,13.6,13.6,50,0,0,-,14.73,14.73,50,0,0,-,0,100,1,20.4,20.4,0,61.19,100,20.4,30.59,0,100
2019,Matt Read,MIN,R,12,1.966666667,0.1638888889,0,30.51,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,44.07,0,0,0,-,-,-,-,30.51,0,30.51,91.53,50,30.51,0,30.51,50
2019,Marcus Kruger,CHI,C,74,2,0.02702702703,30,30,50,30,30,50,30,30,50,0,0,-,30,0,100,0,0,-,0,0,-,40,0,100,0,0,-,0,0,-,0,0,-,0,100,1,30,60,0,210,100,30,60,0,100
2019,Danny DeKeyser,DET,D,52,12.08333333,0.2323717949,24.83,29.79,45.45,19.86,29.79,40,19.86,19.86,50,0,0,-,14.9,9.93,60,0,4.97,0,0,0,-,19.86,6.62,75,0,0,-,7.17,14.34,33.33,0,0,-,0,100,1,34.76,19.86,9.93,124.14,77.78,39.72,24.83,9.93,80
2019,Devante Smith-Pelly,WSH,R,54,2.033333333,0.03765432099,147.54,29.51,83.33,118.03,29.51,80,29.51,29.51,50,0,0,-,88.52,29.51,75,29.51,29.51,50,0,0,-,78.69,0,100,0,0,-,85.25,0,100,0,0,-,0,100,1,118.03,29.51,0,29.51,100,177.05,29.51,0,100
2019,Radim Simek,S.J,D,41,2.05,0.05,58.54,29.27,66.67,29.27,29.27,50,29.27,29.27,50,0,0,-,0,29.27,0,0,0,-,0,0,-,0,39.02,0,0,0,-,84.55,0,100,0,0,-,0,100,1,0,0,0,146.34,-,0,0,0,-
2019,Carter Rowney,ANA,"C, R",62,4.183333333,0.06747311828,57.37,28.69,66.67,43.03,14.34,75,14.34,14.34,50,0,0,-,0,14.34,0,0,0,-,0,0,-,0,19.12,0,0,0,-,82.87,0,100,0,0,-,0,100,1,43.03,43.03,0,186.45,100,43.03,57.37,0,100
2019,Troy Brouwer,FLA,R,75,20.95,0.2793333333,85.92,28.64,75,71.6,28.64,71.43,45.82,25.78,64,2.86,0,100,31.5,17.18,64.71,20.05,8.59,70,2.86,0,100,15.27,11.46,57.14,0,0,-,74.46,12.41,85.71,0,0,-,6.25,100,1.063,28.64,11.46,8.59,74.46,76.92,42.96,14.32,17.18,71.43
2019,Melker Karlsson,S.J,C,79,4.2,0.05316455696,14.29,28.57,33.33,0,28.57,0,0,28.57,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,20.63,20.63,50,0,0,-,-,100,1,14.29,57.14,0,157.14,100,14.29,57.14,0,100
2019,Frederik Gauthier,TOR,C,70,2.116666667,0.03023809524,85.04,28.35,75,85.04,28.35,75,85.04,28.35,75,0,0,-,28.35,0,100,0,0,-,0,0,-,37.8,0,100,0,0,-,81.89,0,100,0,0,-,0,100,1,56.69,141.73,0,340.16,100,85.04,141.73,0,100
2019,Jon Merrill,VGK,D,57,8.516666667,0.1494152047,77.5,28.18,73.33,70.45,21.14,76.92,35.23,0,100,0,0,-,56.36,14.09,80,42.27,0,100,0,0,-,18.79,18.79,50,0,0,-,30.53,20.35,60,0,0,-,0,-,0,21.14,7.05,0,154.99,100,28.18,14.09,0,100
2019,Dan Girardi,T.B,D,62,2.166666667,0.03494623656,0,27.69,0,0,0,-,0,0,-,0,0,-,0,27.69,0,0,0,-,0,0,-,0,36.92,0,0,0,-,0,0,-,0,0,-,-,-,-,27.69,27.69,0,83.08,100,27.69,27.69,0,100
2019,Brendan Lemieux,"NYR, WPG",L,63,19.58333333,0.3108465608,70.47,27.57,71.88,49.02,24.51,66.67,36.77,18.38,66.67,3.06,3.06,50,39.83,15.32,72.22,18.38,12.26,60,3.06,3.06,50,28.6,4.09,87.5,0,0,-,39.83,0,100,0,0,-,8.33,83.33,0.917,30.64,3.06,6.13,39.83,83.33,42.89,9.19,6.13,87.5
