Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2019,Brayden Point,T.B,C,79,265.25,20,15,2,13,35,58.33,51,39.22,80,62,71,29,1,4,4,2,2,0,0,3,3,2,1,6,0,60,54,52.63
2019,Steven Stamkos,T.B,C,82,297.1333333,19,21,14,7,40,65.57,88,21.59,164,125,94,11,0,10,9,3,2,1,0,0,12,1,2,8,1,36,33,52.17
2019,Alex Ovechkin,WSH,L,81,358.7666667,18,10,6,4,28,59.57,115,15.65,227,176,78,7,0,10,6,3,3,0,0,0,13,11,7,2,0,0,0,-
2019,Mike Hoffman,FLA,L,82,281.45,17,18,6,12,35,63.64,88,19.32,153,116,58,12,0,7,0,0,0,0,0,1,22,6,3,14,1,4,7,36.36
2019,David Pastrnak,BOS,R,66,221.7666667,17,16,11,5,33,75,76,22.37,144,111,59,17,2,5,8,4,4,0,0,3,19,2,2,10,1,0,0,-
2019,Mikko Rantanen,COL,R,74,301.7666667,16,17,11,6,33,73.33,50,32,102,73,43,12,0,8,12,6,6,0,0,3,5,2,4,5,2,3,3,50
2019,Leon Draisaitl,EDM,C,82,274.4666667,16,13,7,6,29,65.91,69,23.19,117,88,83,38,1,8,6,3,3,0,0,2,19,3,2,10,0,122,130,48.41
2019,Nikita Kucherov,T.B,R,82,304.4333333,15,33,19,14,48,80,68,22.06,135,103,66,6,1,7,6,3,3,0,0,2,20,4,4,12,0,0,0,-
2019,Patrik Laine,WPG,R,82,287.0333333,15,8,6,2,23,50,95,15.79,189,143,59,13,3,6,10,5,5,0,0,1,7,5,3,3,0,2,3,40
2019,Aleksander Barkov,FLA,C,82,287.4666667,13,18,9,9,31,56.36,38,34.21,59,51,44,28,0,6,2,1,1,0,0,0,13,6,2,10,1,162,131,55.29
2019,Alex DeBrincat,CHI,"L, R",82,267.8166667,13,11,8,3,24,63.16,52,25,98,73,69,15,0,9,2,1,1,0,0,1,7,3,2,11,2,1,2,33.33
2019,Nathan MacKinnon,COL,C,82,334.0833333,12,25,12,13,37,72.55,109,11.01,178,138,91,29,1,10,6,3,3,0,0,1,14,1,4,10,0,55,56,49.55
2019,Phil Kessel,PIT,R,82,266.2166667,12,24,11,13,36,81.82,54,22.22,100,67,52,22,0,10,4,2,2,0,0,0,21,1,0,5,1,0,0,-
2019,Sidney Crosby,PIT,C,79,254.0833333,12,17,12,5,29,67.44,45,26.67,66,56,46,24,0,4,12,2,1,0,1,2,13,4,0,8,0,193,116,62.46
2019,Mark Scheifele,WPG,C,82,294.5666667,12,11,6,5,23,50,63,19.05,109,93,95,34,0,6,20,6,5,0,1,1,6,5,3,7,0,163,159,50.62
2019,Sean Monahan,CGY,C,78,258.2166667,12,11,5,6,23,54.76,51,23.53,86,72,76,43,1,11,4,2,2,0,0,1,7,5,1,7,0,74,65,53.24
2019,Vladimir Tarasenko,STL,R,76,222.0166667,12,10,5,5,22,73.33,69,17.39,119,87,59,7,3,6,4,2,2,0,0,0,3,3,1,8,0,0,0,-
2019,Joe Pavelski,S.J,C,75,222.7,12,9,6,3,21,58.33,46,26.09,63,57,53,31,0,4,6,3,3,0,0,1,10,4,4,4,1,79,62,56.03
2019,Auston Matthews,TOR,C,68,174.9833333,12,8,6,2,20,74.07,58,20.69,96,78,76,18,0,5,0,0,0,0,0,0,9,6,3,8,3,2,3,40
