Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2019,A.J. Greer,COL,L,15,93.8,1,1,1,0,2,100,9,11.11,14,11,8,5,1,2,12,6,6,0,0,2,1,4,20,20,5,2,3,40
2019,Aaron Ekblad,FLA,D,82,1495.5,7,15,6,9,22,27.85,126,5.56,226,166,63,17,5,20,24,12,12,0,0,9,98,38,99,102,73,0,0,-
2019,Adam Clendening,CBJ,D,4,35.46666667,0,0,0,0,0,0,3,0,7,3,1,0,1,0,0,0,0,0,0,0,0,2,1,7,2,0,0,-
2019,Adam Cracknell,ANA,R,2,20.5,0,0,0,0,0,-,3,0,4,3,2,1,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0,-
2019,Adam Erne,T.B,L,65,629.3833333,5,12,5,7,17,60.71,60,8.33,123,93,75,34,8,8,24,8,7,0,1,7,8,15,157,53,24,7,8,46.67
2019,Adam Gaudette,VAN,C,56,530.2166667,5,5,3,2,10,58.82,45,11.11,91,66,52,19,2,9,16,7,7,0,0,13,6,10,48,50,15,136,203,40.12
2019,Adam Henrique,ANA,C,82,1008.783333,10,14,8,6,24,64.86,82,12.2,150,127,100,56,4,9,14,7,7,0,0,8,20,30,68,63,59,420,374,52.9
2019,Adam Johnson,PIT,C,6,31.83333333,0,2,1,1,2,66.67,3,0,5,3,4,2,0,0,0,0,0,0,0,0,1,2,11,7,3,0,0,-
2019,Adam Larsson,EDM,D,82,1548.716667,3,14,6,8,17,37.78,109,2.75,234,161,50,3,0,11,32,16,16,0,0,5,62,23,231,128,105,0,0,-
2019,Adam Lowry,WPG,C,78,939.95,10,8,4,4,18,60,94,10.64,166,134,102,60,5,14,22,8,6,2,0,14,19,37,214,103,34,489,346,58.56
2019,Adam McQuaid,"CBJ, NYR",D,50,685.6333333,3,3,1,2,6,23.08,27,11.11,71,48,13,0,0,3,27,12,11,1,0,6,18,9,109,61,68,0,0,-
2019,Adam Pelech,NYI,D,78,1265.566667,5,15,7,8,20,39.22,104,4.81,211,151,52,9,4,11,14,7,7,0,0,4,37,35,135,146,100,0,0,-
2019,Adrian Kempe,L.A,C,81,980.7166667,10,11,5,6,21,72.41,96,10.42,174,125,86,28,0,6,42,17,16,0,1,12,19,15,78,50,19,278,369,42.97
2019,Alan Quine,CGY,C,13,119.6,2,2,0,2,4,100,9,22.22,18,12,9,5,0,1,4,2,2,0,0,0,5,3,14,7,2,13,20,39.39
2019,Alec Martinez,L.A,D,60,1053.35,4,9,3,6,13,28.89,59,6.78,132,87,40,10,2,9,8,4,4,0,0,4,62,11,68,75,108,0,0,-
2019,Aleksander Barkov,FLA,C,82,1251.683333,18,30,21,9,48,68.57,146,12.33,225,195,130,60,7,12,6,3,3,0,0,29,46,75,22,118,49,722,593,54.9
2019,Alex Biega,VAN,D,41,679.1666667,2,13,6,7,15,50,86,2.33,175,122,44,9,5,9,20,9,9,0,0,3,17,4,97,83,39,0,0,-
2019,Alex Chiasson,EDM,R,73,963.6666667,12,8,7,1,20,62.5,84,14.29,153,123,98,51,6,13,18,9,9,0,0,7,24,23,77,123,29,5,11,31.25
2019,Alex DeBrincat,CHI,"L, R",82,1117.833333,24,20,7,13,44,66.67,157,15.29,290,215,176,53,10,6,6,3,3,0,0,8,41,44,32,82,24,13,17,43.33
2019,Alex Formenton,OTT,L,9,99.23333333,1,0,0,0,1,33.33,16,6.25,25,22,19,10,2,2,4,2,2,0,0,5,5,4,11,15,5,1,2,33.33
2019,Alex Galchenyuk,ARI,C,72,856.5666667,9,9,4,5,18,72,87,10.34,175,136,104,52,4,9,24,12,12,0,0,14,29,27,59,70,33,143,156,47.83
