Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2017,A.J. Greer,COL,L,22,12/14/96,Joliette,QC,CAN,CAN,75,210,2015,COL,2,9,39
2017,Aaron Ekblad,FLA,D,22,2/7/96,Windsor,ON,CAN,CAN,76,220,2014,FLA,1,1,1
2017,Aaron Ness,WSH,D,28,5/18/90,Roseau,MN,USA,USA,70,184,2008,NYI,2,10,40
2017,Adam Clendening,NYR,D,26,10/26/92,Niagara Falls,NY,USA,USA,72,196,2011,CHI,2,6,36
2017,Adam Cracknell,DAL,R,33,7/15/85,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
2017,Adam Erne,T.B,L,23,4/20/95,New Haven,CT,USA,USA,73,214,2013,T.B,2,3,33
2017,Adam Henrique,N.J,C,28,2/6/90,Brantford,ON,CAN,CAN,72,197,2008,N.J,3,21,82
2017,Adam Larsson,EDM,D,26,11/12/92,Skellefteå,,SWE,SWE,75,208,2011,N.J,1,4,4
2017,Adam Lowry,WPG,"C, L",25,3/29/93,St. Louis,MO,USA,USA,77,210,2011,WPG,3,6,67
2017,Adam McQuaid,BOS,D,32,10/12/86,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
2017,Adam Pardy,NSH,D,34,3/29/84,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2017,Adam Pelech,NYI,D,24,8/16/94,Toronto,ON,CAN,CAN,75,218,2012,NYI,3,4,65
2017,Adrian Kempe,L.A,L,22,9/13/96,Kramfors,,SWE,SWE,74,201,2014,L.A,1,29,29
2017,Alan Quine,NYI,C,25,2/25/93,Belleville,ON,CAN,CAN,72,203,2013,NYI,6,15,166
2017,Alec Martinez,L.A,D,31,7/26/87,Rochester Hills,MI,USA,USA,73,209,2007,L.A,4,4,95
2017,Aleksander Barkov,FLA,C,23,9/2/95,Tampere,,FIN,FIN,75,213,2013,FLA,1,2,2
2017,Ales Hemsky,DAL,R,35,8/13/83,Pardubice,,CZE,CZE,72,177,2001,EDM,1,13,13
2017,Alex Biega,VAN,D,30,4/4/88,Montreal,QC,CAN,CAN,70,199,2006,BUF,5,24,147
2017,Alex Chiasson,CGY,R,28,10/1/90,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
2017,Alex Galchenyuk,MTL,C,24,2/12/94,Milwaukee,WI,USA,USA,73,207,2012,MTL,1,3,3
2017,Alex Goligoski,ARI,D,33,7/30/85,Grand Rapids,MN,USA,USA,71,185,2004,PIT,2,31,61
2017,Alex Killorn,T.B,"C, L",29,9/14/89,Halifax,NS,CAN,CAN,73,196,2007,T.B,3,16,77
2017,Alex Ovechkin,WSH,L,33,9/17/85,Moscow,,RUS,RUS,75,235,2004,WSH,1,1,1
2017,Alex Petrovic,FLA,D,26,3/3/92,Edmonton,AB,CAN,CAN,76,216,2010,FLA,2,6,36
2017,Alex Pietrangelo,STL,D,29,1/18/90,King City,ON,CAN,CAN,75,210,2008,STL,1,4,4
2017,Alex Tuch,MIN,R,22,5/10/96,Syracuse,NY,USA,USA,76,222,2014,MIN,1,18,18
2017,Alexander Burmistrov,"ARI, WPG",C,27,10/21/91,Kazan,,RUS,RUS,73,180,2010,ATL,1,8,8
2017,Alexander Edler,VAN,D,32,4/21/86,Ostersund,,SWE,SWE,75,212,2004,VAN,3,26,91
2017,Alexander Nylander,BUF,R,20,3/2/98,Calgary,AB,CAN,CAN,73,192,2016,BUF,1,8,8
2017,Alexander Radulov,MTL,R,32,7/5/86,Nizhny Tagil,,RUS,RUS,73,205,2004,NSH,1,15,15
2017,Alexander Steen,STL,L,34,3/1/84,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
2017,Alexander Wennberg,CBJ,C,24,9/22/94,Stockholm,,SWE,SWE,74,196,2013,CBJ,1,14,14
2017,Alexandre Burrows,"OTT, VAN",L,37,4/11/81,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
2017,Alexandre Carrier,NSH,D,22,10/8/96,Quebec City,QC,CAN,CAN,71,174,2015,NSH,4,24,115
2017,Alexandre Grenier,VAN,R,27,9/5/91,Laval,QC,CAN,CAN,77,200,2011,VAN,3,29,90
2017,Alexei Emelin,MTL,D,32,4/25/86,Togliatti,,RUS,RUS,74,218,2004,MTL,3,19,84
2017,Alexey Marchenko,"DET, TOR",D,27,1/2/92,Moscow,,RUS,RUS,75,210,2011,DET,7,24,205
2017,Anders Lee,NYI,"C, L",28,7/3/90,Edina,MN,USA,USA,75,231,2009,NYI,6,1,152
2017,Andre Burakovsky,WSH,L,23,2/9/95,Klagenfurt,,AUT,SWE,75,201,2013,WSH,1,23,23
