"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"667","A.J. Greer","COL","L","22","1996-12-14","Joliette","QC","CAN","CAN","75","210","2015","COL","2","9","39"
"583","Aaron Ekblad","FLA","D","22","1996-02-07","Windsor","ON","CAN","CAN","76","220","2014","FLA","1","1","1"
"379","Adam Clendening","CBJ","D","26","1992-10-26","Niagara Falls","NY","USA","USA","72","196","2011","CHI","2","6","36"
"73","Adam Cracknell","ANA","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","209","2004","CGY","9","21","279"
"530","Adam Erne","T.B","L","23","1995-04-20","New Haven","CT","USA","USA","73","214","2013","T.B","2","3","33"
"716","Adam Gaudette","VAN","C","22","1996-10-03","Braintree","MA","USA","USA","73","170","2015","VAN","5","28","149"
"203","Adam Henrique","ANA","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","197","2008","N.J","3","21","82"
"396","Adam Larsson","EDM","D","26","1992-11-12","Skellefteå","","SWE","SWE","75","208","2011","N.J","1","4","4"
"366","Adam Lowry","WPG","C","25","1993-03-29","St. Louis","MO","USA","USA","77","210","2011","WPG","3","6","67"
"88","Adam McQuaid","NYR","D","32","1986-10-12","Charlottetown","PE","CAN","CAN","76","210","2005","CBJ","2","25","55"
"463","Adam Pelech","NYI","D","24","1994-08-16","Toronto","ON","CAN","CAN","75","218","2012","NYI","3","4","65"
"610","Adrian Kempe","L.A","C","22","1996-09-13","Kramfors","","SWE","SWE","74","201","2014","L.A","1","29","29"
"371","Alan Quine","CGY","C","25","1993-02-25","Belleville","ON","CAN","CAN","72","203","2013","NYI","6","15","166"
"169","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","209","2007","L.A","4","4","95"
"548","Aleksander Barkov","FLA","C","23","1995-09-02","Tampere","","FIN","FIN","75","213","2013","FLA","1","2","2"
"104","Alex Biega","VAN","D","30","1988-04-04","Montreal","QC","CAN","CAN","70","199","2006","BUF","5","24","147"
"228","Alex Chiasson","EDM","R","28","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"734","Alex DeBrincat","CHI","L, R","21","1997-12-18","Farmington Hills","MI","USA","USA","67","165","2016","CHI","2","9","39"
"790","Alex Formenton","OTT","L","19","1999-09-13","Barrie","ON","CAN","CAN","74","165","2017","OTT","2","16","47"
"429","Alex Galchenyuk","ARI","C","24","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
