Player,Year,Team,Position_SIndC,GP_SIndC,TOI_SIndC,Goals_SIndC,Total_Assists_SIndC,First_Assists_SIndC,Second_Assists_SIndC,Total_Points_SIndC,IPP_SIndC,Shots_SIndC,SHPer_SIndC,iCF_SIndC,iFF_SIndC,iSCF_SIndC,iHDCF_SIndC,Rush_Attempts_SIndC,Rebounds_Created_SIndC,PIM_SIndC,Total_Penalties_SIndC,Minor_SIndC,Major_SIndC,Misconduct_SIndC,Penalties_Drawn_SIndC,Giveaways_SIndC,Takeaways_SIndC,Hits_SIndC,Hits_Taken_SIndC,Shots_Blocked_SIndC,Faceoffs_Won_SIndC,Faceoffs_Lost_SIndC,Faceoffs_Per_SIndC,Position_PPIndC,GP_PPIndC,TOI_PPIndC,Goals_PPIndC,Total_Assists_PPIndC,First_Assists_PPIndC,Second_Assists_PPIndC,Total_Points_PPIndC,IPP_PPIndC,Shots_PPIndC,SHPer_PPIndC,iCF_PPIndC,iFF_PPIndC,iSCF_PPIndC,iHDCF_PPIndC,Rush_Attempts_PPIndC,Rebounds_Created_PPIndC,PIM_PPIndC,Total_Penalties_PPIndC,Minor_PPIndC,Major_PPIndC,Misconduct_PPIndC,Penalties_Drawn_PPIndC,Giveaways_PPIndC,Takeaways_PPIndC,Hits_PPIndC,Hits_Taken_PPIndC,Shots_Blocked_PPIndC,Faceoffs_Won_PPIndC,Faceoffs_Lost_PPIndC,Faceoffs_Per_PPIndC,Position,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,IPP,Shots,SHPer,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Per,Position_PkIndR,GP_PkIndR,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per,Position_PPIndR,GP_PPIndR,PPTOI,PPTOI_GP,PPCF_60,PPCA_60,PPCFPer,PPFF_60,PPFA_60,PPFFPer,PPSF_60,PPSA_60,PPSFPer,PPGF_60,PPGA_60,PPGFPer,PPSCF_60,PPSCA_60,PPSCFPer,PPHDCF_60,PPHDCA_60,PPHDCFPer,PPHDGF_60,PPHDGA_60,PPHDGFPer,PPMDCF_60,PPMDCA_60,PPMDCFPer,PPMDGF_60,PPMDGA_60,PPMDGFPer,PPLDCF_60,PPLDCA_60,PPLDCFPer,PPLDGF_60,PPLDGA_60,PPLDGFPer,PPOn-Ice SHPer,PPOn-Ice SVPer,PPPDO,PPOff. Zone Faceoffs_60,PPNeu. Zone Faceoffs_60,PPDef. Zone Faceoffs_60,PPOnTFStarts_60,PPOffZoneStartPer,PPOffZoneFaceoffs_60,PPNeuZoneFaceoffs_60,PPDefZoneFaceoffs_60,PPOff. Zone Faceoff Per,Position_SIndR,GP_SIndR,TOI_SIndR,TOI_GP,CF_60,CA_60,CFPer,FF_60,FA_60,FFPer,SF_60,SA_60,SFPer,GF_60,GA_60,GFPer,SCF_60,SCA_60,SCFPer,HDCF_60,HDCA_60,HDCFPer,HDGF_60,HDGA_60,HDGFPer,MDCF_60,MDCA_60,MDCFPer,MDGF_60,MDGA_60,MDGFPer,LDCF_60,LDCA_60,LDCFPer,LDGF_60,LDGA_60,LDGFPer,On-Ice SHPer,On-Ice SVPer,PDO,Off. Zone Faceoffs_60,Neu. Zone Faceoffs_60,Def. Zone Faceoffs_60,OnTFStarts_60,OffZoneStartPer,OffZoneFaceoffs_60,NeuZoneFaceoffs_60,DefZoneFaceoffs_60,Off. Zone Faceoff Per,Position_Bios,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
A.J. Greer,2018,COL,L,17.0,122.9,0.0,3.0,2.0,1.0,3.0,75.00,13.0,0.00,20.0,15.0,8.0,3.0,1.0,0.0,10.0,5.0,5.0,0.0,0.0,4.0,2.0,3.0,29.0,16.0,5.0,1.0,2.0,33.33,L,17.0,2.7833333333333,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,17.0,2.7833333330000003,0.16372549,64.67,21.56,75,43.11,21.56,66.67,43.11,21.56,66.67,0.0,0.0,-,21.56,21.56,50,21.56,0.0,100,0.0,0.0,-,0.0,28.74,0,0.0,0.0,-,62.28,0.0,100,0.0,0.0,-,0,100,1,43.11,0.0,0.0,43.11,100,43.11,0.0,0.0,100,L,17.0,125.68333329999999,7.393137255,42.01,61.58,40.55,32.46,47.74,40.48,25.78,34.85,42.52,1.91,0.95,66.67,21.96,25.78,46.0,8.12,12.41,39.53,0.95,0.48,66.67,18.46,17.82,50.88,0.64,0.0,100,24.13,41.37,36.84,0.69,0.69,50,7.41,97.26,1.047,11.46,10.03,10.03,58.24,53.33,17.19,16.23,15.75,52.17,L,22.0,12/14/96,Joliette,QC,CAN,CAN,75.0,210.0,2015,COL,2,9,39
Aaron Ekblad,2018,FLA,D,82.0,1558.2666666667,11.0,16.0,4.0,12.0,27.0,31.76,152.0,7.24,316.0,229.0,93.0,20.0,3.0,13.0,55.0,26.0,25.0,1.0,0.0,7.0,81.0,33.0,61.0,56.0,100.0,0.0,0.0,-,D,82.0,175.46666666667,5.0,6.0,2.0,4.0,11.0,47.83,32.0,15.63,76.0,48.0,24.0,5.0,1.0,4.0,6.0,3.0,3.0,0.0,0.0,2.0,9.0,2.0,3.0,13.0,4.0,0.0,0.0,-,D,82.0,184.16666666667,0.0,0.0,0.0,0.0,0.0,0.00,5.0,0.00,7.0,6.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,3.0,9.0,5.0,5.0,3.0,17.0,0.0,0.0,-,D,82.0,184.16666669999998,2.245934959,18.9,117.29,13.88,17.92,94.15,15.99,13.03,73.95,14.98,2.28,6.52,25.93,10.43,54.41,16.08,3.58,28.02,11.34,1.3,3.26,28.57,9.12,35.19,20.59,0.87,2.61,25,8.47,87.06,8.87,0.0,1.88,0,17.5,91.19,1.087,1.3,7.17,49.85,28.34,2.55,2.28,11.08,74.61,2.97,D,82.0,175.4666667,2.139837398,104.29,14.36,87.9,80.02,12.31,86.67,58.81,9.92,85.57,7.86,0.34,95.83,50.61,5.47,90.24,20.86,3.08,87.14,4.1,0.34,92.31,39.67,3.19,92.55,2.74,0.0,100,73.59,5.93,92.55,2.47,0.0,100,13.37,96.55,1.099,25.65,10.94,2.39,30.43,91.46,46.85,17.1,3.08,93.84,D,82.0,1917.9,23.38902439,60.6,63.73,48.74,47.9,50.34,48.76,34.85,37.67,48.06,3.6,3.22,52.75,28.22,29.19,49.16,10.64,13.48,44.1,1.78,1.81,49.57,23.44,20.94,52.82,1.21,1.13,51.79,39.18,41.75,48.41,1.17,0.68,63.41,10.32,91.45,1.018,9.54,13.26,12.98,38.14,42.36,19.46,20.74,27.91,41.08,D,22.0,2/7/96,Windsor,ON,CAN,CAN,76.0,220.0,2014,FLA,1,1,1
Aaron Ness,2018,WSH,D,8.0,95.0,0.0,1.0,0.0,1.0,1.0,16.67,2.0,0.00,3.0,2.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,14.0,8.0,0.0,0.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,8.0,6.816666666666699,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,D,8.0,6.816666667000001,0.8520833329999999,17.6,88.02,16.67,8.8,70.42,11.11,8.8,44.01,16.67,0.0,8.8,0,8.8,52.81,14.29,0.0,26.41,0,0.0,8.8,0,11.74,35.21,25,0.0,0.0,-,0.0,50.86,0,0.0,0.0,-,0,80,0.8,0.0,8.8,17.6,70.42,0,0.0,8.8,17.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,8.0,101.8166667,12.72708333,45.96,65.41,41.27,37.13,53.04,41.18,28.29,37.13,43.24,3.54,2.95,54.55,22.39,32.41,40.86,4.13,14.14,22.58,0.59,1.77,25,24.36,24.36,50,3.93,1.57,71.43,28.94,45.11,39.08,0.0,0.0,-,12.5,92.06,1.046,7.07,11.79,7.07,65.41,50,11.79,21.8,18.86,38.46,D,28.0,5/18/90,Roseau,MN,USA,USA,70.0,184.0,2008,NYI,2,10,40
Adam Clendening,2018,ARI,D,5.0,76.95,0.0,2.0,0.0,2.0,2.0,50.00,4.0,0.00,11.0,8.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,6.0,0.0,0.0,-,D,5.0,2.0666666666666997,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-,D,5.0,0.65,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,D,5.0,0.65,0.13,0.0,92.31,0,0.0,92.31,0,0.0,92.31,0,0.0,92.31,0,0.0,92.31,0,0.0,0.0,-,0.0,0.0,-,0.0,123.08,0,0.0,123.08,0,0.0,0.0,-,0.0,0.0,-,-,0,0,0.0,0.0,92.31,92.31,0,0.0,0.0,92.31,0,D,5.0,2.066666667,0.41333333299999997,29.03,29.03,50,29.03,29.03,50,29.03,29.03,50,0.0,0.0,-,29.03,29.03,50,0.0,0.0,-,0.0,0.0,-,38.71,38.71,50,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0,100,1,29.03,0.0,0.0,87.1,100,29.03,0.0,0.0,100,D,5.0,79.66666667,15.93333333,59.5,68.54,46.47,46.69,51.21,47.69,33.89,36.9,47.87,3.01,4.52,40,28.62,39.16,42.22,13.56,18.08,42.86,2.26,3.01,42.86,20.08,28.12,41.67,0.0,1.0,0,39.16,36.99,51.43,1.09,1.09,50,8.89,87.76,0.966,6.03,12.05,6.03,56.49,50,15.82,21.09,18.83,45.65,D,26.0,10/26/92,Niagara Falls,NY,USA,USA,72.0,196.0,2011,CHI,2,6,36
Adam Cracknell,2018,"DAL, NYR",R,5.0,34.283333333333005,0.0,0.0,0.0,0.0,0.0,-,6.0,0.00,8.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,3.0,1.0,2.0,3.0,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,5.0,4.2666666666667,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.00,R,5.0,4.266666667,0.8533333329999999,0.0,70.31,0,0.0,70.31,0,0.0,70.31,0,0.0,14.06,0,0.0,42.19,0,0.0,14.06,0,0.0,14.06,0,0.0,37.5,0,0.0,0.0,-,0.0,40.63,0,0.0,0.0,-,-,80,0.8,0.0,0.0,14.06,98.44,0,0.0,0.0,14.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,5.0,38.55,7.71,42.02,56.03,42.86,28.02,45.14,38.3,21.79,37.35,36.84,0.0,3.11,0,12.45,23.35,34.78,4.67,10.89,30,0.0,1.56,0,10.38,16.6,38.46,0.0,2.08,0,33.72,42.72,44.12,0.0,0.0,-,0.0,91.67,0.917,7.78,15.56,9.34,70.04,45.45,10.89,17.12,18.68,36.84,R,33.0,7/15/85,Prince Albert,SK,CAN,CAN,74.0,209.0,2004,CGY,9,21,279
Adam Erne,2018,T.B,L,23.0,231.86666666667003,3.0,1.0,0.0,1.0,4.0,44.44,29.0,10.34,49.0,42.0,29.0,12.0,1.0,2.0,9.0,3.0,2.0,1.0,0.0,3.0,4.0,4.0,37.0,21.0,8.0,5.0,3.0,62.50,L,23.0,0.46666666666667,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,L,23.0,0.4,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,L,23.0,0.4,0.017391304,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,0.0,0.0,0.0,150.0,-,0.0,0.0,0.0,-,L,23.0,0.46666666700000003,0.020289855,0.0,128.57,0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,185.71,0,0.0,0.0,-,-,-,-,128.57,0.0,0.0,0.0,100,128.57,0.0,0.0,100,L,23.0,232.7333333,10.11884058,52.08,46.66,52.74,39.96,33.51,54.39,29.13,25.78,53.05,2.32,2.58,47.37,23.46,21.14,52.6,9.54,6.45,59.68,1.29,1.55,45.45,18.56,19.59,48.65,1.37,1.37,50,36.12,32.77,52.43,0.0,0.0,-,7.96,90.0,0.98,13.92,17.79,6.19,48.47,69.23,19.59,23.2,15.98,55.07,L,23.0,4/20/95,New Haven,CT,USA,USA,73.0,214.0,2013,T.B,2,3,33
Adam Gaudette,2018,VAN,C,5.0,60.2,0.0,0.0,0.0,0.0,0.0,0.00,9.0,0.00,20.0,14.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,6.0,3.0,6.0,9.0,40.00,C,5.0,3.7333333333332996,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,5.0,3.733333333,0.7466666670000001,96.43,16.07,85.71,48.21,16.07,75,16.07,16.07,50,0.0,0.0,-,64.29,16.07,80,0.0,0.0,-,0.0,0.0,-,85.71,21.43,80,0.0,0.0,-,23.21,0.0,100,0.0,0.0,-,0,100,1,0.0,0.0,0.0,80.36,-,16.07,16.07,0.0,100,C,5.0,63.93333333,12.78666667,58.19,59.12,49.6,40.35,42.23,48.86,28.15,30.03,48.39,1.88,0.0,100,35.66,31.91,52.78,15.02,9.38,61.54,1.88,0.0,100,27.53,30.03,47.83,0.0,0.0,-,23.04,32.53,41.46,0.0,0.0,-,6.67,100.0,1.067,8.45,10.32,11.26,54.43,42.86,15.95,14.08,24.4,39.53,C,22.0,10/3/96,Braintree,MA,USA,USA,73.0,170.0,2015,VAN,5,28,149
Adam Henrique,2018,"ANA, N.J",C,81.0,1108.9166666667,17.0,17.0,12.0,5.0,34.0,65.38,106.0,16.04,195.0,152.0,130.0,69.0,9.0,10.0,14.0,7.0,7.0,0.0,0.0,8.0,24.0,31.0,57.0,69.0,51.0,390.0,428.0,47.68,C,81.0,203.75,6.0,7.0,3.0,4.0,13.0,43.33,30.0,20.00,52.0,45.0,41.0,26.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,8.0,3.0,69.0,49.0,58.47,C,81.0,127.93333333333,1.0,2.0,2.0,0.0,3.0,75.00,15.0,6.67,16.0,15.0,11.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0,1.0,7.0,49.0,70.0,41.18,C,81.0,127.93333329999999,1.5794238680000001,18.76,100.36,15.75,16.41,77.38,17.5,14.54,53.0,21.53,1.88,6.1,23.53,12.19,56.28,17.81,6.1,25.79,19.12,0.94,3.75,20,8.13,40.65,16.67,1.25,2.5,33.33,6.77,60.29,10.1,0.0,0.68,0,12.9,88.5,1.014,1.88,8.44,43.62,52.53,4.12,3.75,11.26,53.0,6.61,C,81.0,203.75,2.515432099,107.48,16.2,86.9,82.75,14.43,85.15,58.9,10.31,85.11,8.83,1.47,85.71,53.3,7.66,87.44,25.62,3.24,88.78,5.89,0.88,86.96,36.91,5.89,86.24,3.14,0.79,80,72.74,5.1,93.44,0.85,0.0,100,15,85.71,1.007,36.22,3.83,0.29,11.48,99.19,54.48,7.66,1.18,97.88,C,81.0,1440.6,17.78518519,60.27,58.02,50.95,46.02,43.65,51.32,32.19,31.2,50.79,3.58,2.42,59.72,29.36,28.36,50.87,13.04,11.54,53.05,2.46,1.12,68.6,21.77,22.44,49.25,0.94,0.89,51.52,36.46,34.59,51.31,0.36,0.78,31.58,11.13,92.26,1.034,13.24,11.2,11.79,40.44,52.91,20.62,16.45,20.32,50.36,C,28.0,2/6/90,Brantford,ON,CAN,CAN,72.0,197.0,2008,N.J,3,21,82
Adam Larsson,2018,EDM,D,63.0,1223.6333333333,4.0,9.0,2.0,7.0,13.0,22.03,86.0,4.65,187.0,124.0,42.0,12.0,5.0,12.0,32.0,16.0,16.0,0.0,0.0,5.0,43.0,19.0,219.0,101.0,115.0,0.0,0.0,-,D,63.0,6.05,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-,D,63.0,152.05,0.0,0.0,0.0,0.0,0.0,0.00,6.0,0.00,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,20.0,4.0,25.0,0.0,0.0,-,D,63.0,152.05,2.413492063,15.39,97.07,13.68,12.63,70.63,15.17,10.65,52.09,16.98,0.79,6.71,10.53,8.68,52.09,14.29,3.95,24.86,13.7,0.79,3.55,18.18,6.31,36.3,14.81,0.0,2.1,0,2.85,58.14,4.67,0.0,2.28,0,7.41,87.12,0.945,1.18,7.5,39.46,37.49,2.91,3.16,13.02,54.46,5.48,D,63.0,6.05,0.096031746,29.75,9.92,75,19.83,9.92,66.67,19.83,0.0,100,0.0,0.0,-,0.0,9.92,0,0.0,9.92,0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,42.98,0.0,100,0.0,0.0,-,0,-,0,59.5,29.75,19.83,218.18,75,79.34,39.67,19.83,80,D,63.0,1381.733333,21.93227513,54.28,61.88,46.73,41.51,46.2,47.33,30.74,34.3,47.26,2.65,2.95,47.29,26.88,30.92,46.51,12.12,13.5,47.29,1.43,1.69,45.83,19.69,23.22,45.88,0.87,0.98,46.88,31.42,35.56,46.91,0.63,0.69,47.62,8.62,91.39,1.0,6.69,14.11,12.42,41.43,35,16.46,21.1,24.49,40.19,D,26.0,11/12/92,Skellefteå,,SWE,SWE,75.0,208.0,2011,N.J,1,4,4
Adam Lowry,2018,WPG,C,45.0,542.43333333333,7.0,12.0,8.0,4.0,19.0,79.17,58.0,12.07,89.0,75.0,67.0,32.0,5.0,9.0,6.0,3.0,3.0,0.0,0.0,7.0,3.0,18.0,114.0,55.0,24.0,314.0,219.0,58.91,C,45.0,35.95,1.0,1.0,0.0,1.0,2.0,50.00,5.0,20.00,8.0,8.0,8.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,19.0,24.0,44.19,C,45.0,91.65,0.0,0.0,0.0,0.0,0.0,0.00,7.0,0.00,8.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,3.0,4.0,42.0,53.0,44.21,C,45.0,91.65,2.036666667,19.64,91.0,17.75,17.68,74.63,19.15,15.71,52.37,23.08,1.31,6.55,16.67,7.86,45.17,14.81,4.58,16.37,21.88,0.65,3.93,14.29,4.36,38.41,10.2,0.87,0.87,50,5.67,62.41,8.33,0.0,2.84,0,8.33,87.5,0.958,1.96,6.55,41.24,50.41,4.55,2.62,12.44,53.68,4.65,C,45.0,35.95,0.7988888890000001,101.81,6.68,93.85,65.09,5.01,92.86,51.74,5.01,91.18,6.68,0.0,100,46.73,0.0,100,20.03,0.0,100,3.34,0.0,100,35.61,0.0,100,2.23,0.0,100,72.32,2.41,96.77,2.41,0.0,100,12.9,100,1.129,51.74,11.68,1.67,18.36,96.88,75.1,13.35,3.34,95.74,C,45.0,670.0333333,14.88962963,55.97,49.43,53.1,42.0,35.73,54.03,30.45,24.8,55.11,2.69,2.42,52.63,25.7,21.76,54.15,11.55,7.7,60,1.61,0.99,62.07,18.86,18.75,50.16,0.6,1.07,35.71,35.7,32.85,52.08,0.78,0.91,46.15,8.82,90.25,0.991,10.66,16.57,16.12,41.19,39.8,17.19,22.21,26.24,39.59,C,25.0,3/29/93,St. Louis,MO,USA,USA,77.0,210.0,2011,WPG,3,6,67
