,Player,FantasyTeam,OverallDraftNumber,DraftRound,Fantasy Points,Modeled_Fantasy_Points,Points Differential
0,Rickard Rakell,Datsyuk's Dekes,62,6,146.75,142.42356845984207,4.326431540157927
1,Adam Henrique,Datsyuk's Dekes,254,22,190.1,166.08683783718178,24.01316216281822
2,Ryan Getzlaf,Every Day I'm Byfuglien,87,8,211.05,166.89576973766663,44.154230262333385
3,Hampus Lindholm,Tronhelm Black Bears,220,19,142.7,150.83069730842143,8.130697308421446
4,Josh Manson,Datsyuk's Dekes,182,16,129.75,133.76743963402163,4.017439634021628
5,Cam Fowler,Takoma Park Holtbeasts,187,16,103.05,118.88579363674769,15.835793636747695
6,Corey Perry,Tronhelm Black Bears,141,12,44.4,50.00352883501379,5.60352883501379
7,Jakob Silfverberg,Datsyuk's Dekes,230,20,152.15000000000003,140.67583758487308,11.474162415126955
8,Ondrej Kase,Datsyuk's Dekes,275,23,69.95,68.47555466492884,1.4744453350711666
9,Clayton Keller,London Bacon Blades,97,9,136.95000000000002,157.08299860857747,20.132998608577452
10,Derek Stepan,Shat Deuces,162,14,166.14999999999998,170.33038057168022,4.180380571680246
11,Nick Schmaltz,Davinci's McDavid,153,13,64.9,71.08621760116631,6.186217601166305
12,Oliver Ekman-Larsson,Datsyuk's Dekes,110,10,178.10000000000002,178.46532286984322,0.3653228698431974
13,Alex Galchenyuk,London Bacon Blades,192,16,159.15000000000003,141.8340855153108,17.315914484689245
14,David Krejci,Amesville Aliens,236,20,204.45000000000002,179.30331860219889,25.14668139780113
15,Patrice Bergeron,Shat Deuces,66,6,277.3999999999999,195.13806601412958,82.26193398587034
16,Zdeno Chara,Tronhelm Black Bears,237,20,105.44999999999999,119.78430981539077,14.334309815390782
17,John Moore,Tronhelm Black Bears,268,23,91.75,99.45824384010824,7.7082438401082385
18,Torey Krug,Shat Deuces,90,8,161.79999999999998,132.41367169315365,29.386328306846337
19,Charlie McAvoy,Every Day I'm Byfuglien,154,13,126.2,112.1365570840231,14.063442915976907
20,Jake DeBrusk,Beet Beet Gourde Gourde,253,22,141.25000000000003,134.63384708383168,6.616152916168346
21,Brad Marchand,Paul North Kariya,8,1,270.05,224.82901061434134,45.22098938565867
22,Charlie Coyle,Gritty Gritty Bang Bang,243,21,152.85000000000002,149.75030122308405,3.0996987769159716
