,player,projection
256,AARON.EKBLAD,0
1799,ADAM.ERNE,0
3473,ADAM.LARSSON,0
3851,ADAM.LOWRY,0
5029,ADAM.PELECH,0
6333,ALEKSANDER.BARKOV,0
8580,ALEX.CHIASSON,0
10121,ALEX.GALCHENYUK,0
10952,ALEX.GOLIGOSKI,0
11258,ALEX.KERFOOT,0
11848,ALEX.KILLORN,0
12722,ALEX.OVECHKIN,0
13593,ALEX.PIETRANGELO,0
14861,ALEX.STEEN,0
15616,ALEX.TUCH,0
17398,ANDERS.LEE,0
17793,ANDRE.BURAKOVSKY,0
18065,ANDREAS.ATHANASIOU,0
18213,ANDREAS.JOHNSSON,0
19830,ANDREI.SVECHNIKOV,0
20872,ANDREJ.SEKERA,0
23178,ANDREW.COPP,0
26492,ANDREW.SHAW,0
27429,ANDY.GREENE,0
28329,ANTHONY.BEAUVILLIER,0
28437,ANTHONY.BITETTO,0
28553,ANTHONY.CIRELLI,0
28971,ANTHONY.MANTHA,0.5
31830,ANTON.STRALMAN,0.5
34884,ARTTURI.LEHKONEN,0.5
35457,AUSTON.MATTHEWS,0.5
36064,BARCLAY.GOODROW,0.5
37062,BEN.CHIAROT,0.5
40148,BLAKE.COLEMAN,0.5
41810,BLAKE.WHEELER,0.5
44828,BRAD.HUNT,0.5
47023,BRAD.RICHARDSON,0.5
48759,BRANDON.CARLO,0.5
50609,BRANDON.PIRRI,0.5
52939,BRAYDEN.MCNABB,0.5
53192,BRAYDEN.POINT,0.5
53714,BRAYDEN.SCHENN,0.5
54616,BRAYDON.COBURN,0.5
55183,BRENDAN.GALLAGHER,0.5
57051,BRENDEN.DILLON,0.5
58237,BRENT.BURNS,0.5
60188,BRETT.CONNOLLY,0.5
60465,BRETT.KULAK,0.5
61018,BRETT.PESCE,0.5
65903,BROCK.MCGINN,0.5
66402,BROCK.NELSON,0.5
67381,BROOKS.ORPIK,0.5
69205,BRYAN.LITTLE,0.5
69756,BRYAN.RUST,0.5
71140,CAL.CLUTTERBUCK,0.5
71577,CALLE.ROSEN,0.5
74151,CARL.GUNNARSSON,0.5
74815,CARL.HAGELIN,0.5
75297,CARL.SODERBERG,0.5
76417,CASEY.CIZIKAS,0.5
76935,CEDRIC.PAQUETTE,0.5
78129,CHARLIE.COYLE,0.5
86247,CHRISTIAN.DJOOS,0.5
86407,CHRISTIAN.DVORAK,0.5
87173,CHRISTIAN.FOLIN,0.5
87334,CHRISTOFFER.EHN,0.5
89056,CLAUDE.GIROUX,0.5
89254,CLAYTON.KELLER,0.5
90593,CODY.EAKIN,0.5
92639,COLBY.CAVE,0.5
93733,COLIN.MILLER,0.5
94663,COLIN.WILSON,0.5
95644,COLTON.SCEVIOUR,0.5
96150,CONNOR.BROWN,0.5
96337,CONNOR.CARRICK,0.5
96352,CONNOR.CLIFTON,0.5
96666,CONNOR.MCDAVID,0.5
97064,CONOR.GARLAND,0.5
97392,CORBAN.KNIGHT,0.5
103003,DAMON.SEVERSON,0.5
109941,DANTON.HEINEN,0.5
111079,DARNELL.NURSE,0.5
111706,DARREN.HELM,0.5
113467,DAVID.BACKES,0.5
117571,DAVID.PASTRNAK,0.5
118213,DAVID.PERRON,0.5
125054,DEREK.STEPAN,0.5
125747,DERICK.BRASSARD,0.5
126343,DERYK.ENGELLAND,0.5
127485,DEVON.TOEWS,0.5
129078,DMITRY.KULIKOV,0.5
129379,DMITRY.ORLOV,0.5
130158,DOMINIC.TURGEON,0.5
130343,DOMINIK.SIMON,0.5
130972,DOUGIE.HAMILTON,0.5
133728,DREW.STAFFORD,0.5
133750,DRYDEN.HUNT,0.5
136373,DUSTIN.BYFUGLIEN,0.5
137750,DYLAN.LARKIN,0.5
137798,DYLAN.MCILRATH,0.5
140649,ERIC.FEHR,0.5
142662,ERIC.STAAL,0.5
142885,ERIK.CERNAK,0.5
144341,ERIK.GUDBRANSON,0.5
145617,ERIK.JOHNSON,0.5
147335,EVANDER.KANE,0.5
147945,EVGENI.MALKIN,0.5
148204,EVGENY.DADONOV,0.5
148523,EVGENY.KUZNETSOV,0.5
149728,FILIP.HRONEK,0.5
151336,FRANK.VATRANO,1
152570,FREDERIK.GAUTHIER,1
153359,GABRIEL.BOURQUE,1
154055,GABRIEL.LANDESKOG,1
154376,GARRETT.WILSON,1
155594,GREG.MCKEGG,1
155868,GREG.PATERYN,1
157586,GUSTAV.NYQUIST,1
158655,HAYDN.FLEURY,1
158714,HENRIK.BORGSTROM,1
160911,IAN.COLE,1
162227,IVAN.BARBASHEV,1
162491,IVAN.PROVOROV,1
163225,J.T..BROWN,1
163386,J.T..COMPHER,1
164135,JACCOB.SLAVIN,1
165270,JACK.JOHNSON,1
165398,JACK.ROSLOVIC,1
166246,JACOB.MIDDLETON,1
166671,JACOB.TROUBA,1
167014,JADEN.SCHWARTZ,1
167070,JAKE.CHELIOS,1
167179,JAKE.DEBRUSK,1
167971,JAKE.GARDINER,1
168212,JAKE.GUENTZEL,1
169157,JAKOB.CHYCHRUN,1
170828,JAKUB.VORACEK,1
170944,JAKUB.VRANA,1
172910,JAMES.VAN RIEMSDYK,1
176233,JAN.RUTTA,1
177658,JARED.MCCANN,1
178314,JARED.SPURGEON,1
182267,JASON.DEMERS,1
185267,JASON.ZUCKER,1
186409,JAY.BOUWMEESTER,1
187883,JAYCE.HAWRYLUK,1
190274,JEFF.PETRY,1
192728,JESPERI.KOTKANIEMI,1
195967,JOAKIM.NORDSTROM,1
197119,JOE.HICKETTS,1
198082,JOE.PAVELSKI,1
198884,JOE.THORNTON,1
199284,JOEL.ARMIA,1
199431,JOEL.EDMUNDSON,1
199597,JOEL.ERIKSSON EK,1
200396,JOEY.ANDERSON,1
202576,JOHN.CARLSON,1
205775,JOHN.TAVARES,1
208517,JONAS.BRODIN,1
209079,JONATHAN.DROUIN,1
209990,JONATHAN.HUBERDEAU,1
210260,JONATHAN.MARCHESSAULT,1
212602,JORDAN.EBERLE,1
212702,JORDAN.GREENWAY,1
213482,JORDAN.MARTINOOK,1
214786,JORDAN.STAAL,1
215002,JORDAN.WEAL,1
215482,JORDIE.BENN,1
216388,JOSEPH.GAMBARDELLA,1.5
216727,JOSH.ARCHIBALD,1.5
217530,JOSH.BAILEY,1.5
217554,JOSH.BROWN,1.5
217575,JOSH.CURRIE,1.5
221203,JUSTIN.BRAUN,1.5
221924,JUSTIN.FAULK,1.5
222664,JUSTIN.SCHULTZ,1.5
223401,JUSTIN.WILLIAMS,1.5
224560,KARSON.KUHLMAN,1.5
224784,KASPERI.KAPANEN,1.5
226437,KEITH.YANDLE,1.5
226631,KENNY.AGOSTINO,1.5
227135,KEVAN.MILLER,1.5
228107,KEVIN.CONNAUTON,1.5
228279,KEVIN.FIALA,1.5
228784,KEVIN.HAYES,1.5
229618,KEVIN.LABANC,1.5
229919,KEVIN.ROONEY,1.5
232628,KRIS.LETANG,1.5
233294,KRIS.RUSSELL,1.5
236775,KYLE.CONNOR,1.5
240972,LARS.ELLER,1.5
241732,LAWSON.CROUSE,1.5
242843,LEO.KOMAROV,1.5
243212,LEON.DRAISAITL,1.5
244217,LOGAN.COUTURE,1.5
246205,LUCAS.WALLMARK,1.5
247170,LUKE.KUNIN,1.5
247978,LUKE.WITKOWSKI,1.5
248062,MACKENZIE.WEEGAR,1.5
248118,MADISON.BOWEY,1.5
250296,MARC-EDOUARD.VLASIC,1.5
253152,MARCUS.FOLIGNO,1.5
253599,MARCUS.JOHANSSON,1.5
254244,MARCUS.PETTERSSON,1.5
254365,MARCUS.SORENSEN,1.5
259933,MARK.PYSYK,1.5
260654,MARK.SCHEIFELE,1.5
260955,MARK.STONE,1.5
263312,MARTIN.FRK,1.5
266239,MATHEW.BARZAL,1.5
266528,MATHIEU.JOSEPH,1.5
267090,MATHIEU.PERREAULT,1.5
268742,MATT.BENNING,1.5
269397,MATT.CALVERT,1.5
271528,MATT.CULLEN,1.5
274139,MATT.GRZELCYK,1.5
