,,,,,rule
2/23/16,KARLSSON,ERIK,5.318799253,ERIK KARLSSON,1
2/23/16,EKMAN-LARSSON,OLIVER,4.970028025,OLIVER EKMAN-LARSSON,1
2/23/16,OKPOSO,KYLE,3.842462449,KYLE OKPOSO,1
2/23/16,SIMMONDS,WAYNE,3.837973595,WAYNE SIMMONDS,1
2/23/16,JOSI,ROMAN,3.69686678,ROMAN JOSI,1
2/23/16,GOSTISBEHERE,SHAYNE,3.557081975,SHAYNE GOSTISBEHERE,1
2/23/16,TAVARES,JOHN,3.537809672,JOHN TAVARES,1
2/23/16,DATSYUK,PAVEL,3.376881582,PAVEL DATSYUK,1
2/23/16,STONE,MARK,3.342929562,MARK STONE,1
2/23/16,BYFUGLIEN,DUSTIN,3.234566471,DUSTIN BYFUGLIEN,1
2/23/16,DOAN,SHANE,3.180518545,SHANE DOAN,1
2/23/16,LEDDY,NICK,3.177075939,NICK LEDDY,1
2/23/16,EBERLE,JORDAN,3.09665304,JORDAN EBERLE,1
2/23/16,ATKINSON,CAM,3.080525072,CAM ATKINSON,1
2/23/16,EHLERS,NIKOLAJ,3.071624862,NIKOLAJ EHLERS,1
2/23/16,YANDLE,KEITH,3.016279719,KEITH YANDLE,1
2/23/16,DOMI,MAX,2.981677734,MAX DOMI,1
2/23/16,ZETTERBERG,HENRIK,2.978967271,HENRIK ZETTERBERG,1
2/23/16,SEGUIN,TYLER,2.947495546,TYLER SEGUIN,1
2/23/16,DUCLAIR,ANTHONY,2.943261951,ANTHONY DUCLAIR,1
2/23/16,HOFFMAN,MIKE,2.94019534,MIKE HOFFMAN,1
2/23/16,NEAL,JAMES,2.889826427,JAMES NEAL,1
2/23/16,MCDAVID,CONNOR,2.86953335,CONNOR MCDAVID,1
2/23/16,HANZAL,MARTIN,2.840919054,MARTIN HANZAL,1
2/23/16,GREEN,MIKE,2.824729036,MIKE GREEN,1
2/23/16,KLINGBERG,JOHN,2.815810278,JOHN KLINGBERG,1
2/23/16,WHEELER,BLAKE,2.81167217,BLAKE WHEELER,1
2/23/16,LEE,ANDERS,2.793082598,ANDERS LEE,1
2/23/16,BENN,JAMIE,2.768694911,JAMIE BENN,1
2/23/16,VORACEK,JAKUB,2.724903503,JAKUB VORACEK,1
2/23/16,STONE,MICHAEL,2.715296661,MICHAEL STONE,1
2/23/16,SCHLEMKO,DAVID,2.714813757,DAVID SCHLEMKO,1
2/23/16,ABDELKADER,JUSTIN,2.69308861,JUSTIN ABDELKADER,1
2/23/16,ZIBANEJAD,MIKA,2.673847076,MIKA ZIBANEJAD,1
2/23/16,SUTER,RYAN,2.655490949,RYAN SUTER,1
2/23/16,LADD,ANDREW,2.655038185,ANDREW LADD,1
2/23/16,SCHENN,BRAYDEN,2.633426858,BRAYDEN SCHENN,1
2/23/16,PARENTEAU,PIERRE-ALEXANDRE,2.629456394,PIERRE-ALEXANDRE PARENTEAU,1
2/23/16,POULIOT,BENOIT,2.62789426,BENOIT POULIOT,1
2/23/16,BRASSARD,DERICK,2.624602881,DERICK BRASSARD,1
2/23/16,DUBINSKY,BRANDON,2.621825675,BRANDON DUBINSKY,1
2/23/16,BLANDISI,JOSEPH,2.612133284,JOSEPH BLANDISI,1
2/23/16,SEKERA,ANDREJ,2.608413567,ANDREJ SEKERA,1
2/23/16,BOEDKER,MIKKEL,2.600640839,MIKKEL BOEDKER,1
2/23/16,MURRAY,RYAN,2.578294869,RYAN MURRAY,1
2/23/16,PARISE,ZACH,2.571078379,ZACH PARISE,1
2/23/16,PHANEUF,DION,2.570737391,DION PHANEUF,1
2/23/16,HEDMAN,VICTOR,2.569871785,VICTOR HEDMAN,1
2/23/16,ZUCCARELLO,MATS,2.523851653,MATS ZUCCARELLO,1
2/23/16,JENNER,BOONE,2.523552917,BOONE JENNER,1
2/23/16,JONES,SETH,2.502343377,SETH JONES,1
2/23/16,KRONWALL,NIKLAS,2.491196039,NIKLAS KRONWALL,1
2/23/16,NIELSEN,FRANS,2.486812508,FRANS NIELSEN,1
2/23/16,RYAN,BOBBY,2.477167302,BOBBY RYAN,1
2/23/16,SHARP,PATRICK,2.465524045,PATRICK SHARP,1
2/23/16,KOIVU,MIKKO,2.4381093,MIKKO KOIVU,1
2/23/16,FAULK,JUSTIN,2.423089253,JUSTIN FAULK,1
2/23/16,JOHNSON,TYLER,2.405959674,TYLER JOHNSON,1
2/23/16,GOLIGOSKI,ALEX,2.388209488,ALEX GOLIGOSKI,1
2/23/16,PALMIERI,KYLE,2.366257195,KYLE PALMIERI,1
