"","Team","Opponent","game_id","game_date","season","is_home","TOI","TOI_5v4","TOI_5v3","TOI_4v3","GF","GA","xGF","xGA","SF","SA","FF","FA","CF","CA","PEND2","PENT2","PEND5","PENT5"
"1","ANA","S.J",2008020008,14161,20082009,0,4,4,0,0,0,0,0,0,5,0,6,0,7,2,0,0,0,0
"2","ANA","ARI",2008020030,14164,20082009,1,6.01666666666667,6.01666666666667,0,0,0,0,0,0,6,0,8,1,10,1,1,1,0,0
"3","ANA","L.A",2008020042,14166,20082009,0,8.21666666666667,8.21666666666667,0,0,0,0,0,0,9,0,10,0,10,0,0,0,0,0
"4","ANA","EDM",2008020048,14167,20082009,1,2.45,2.45,0,0,0,0,0,0,3,0,5,0,5,0,0,1,0,0
"5","ANA","S.J",2008020061,14169,20082009,1,9.18333333333333,6.15,1.21666666666667,1.81666666666667,1,0,0,0,8,2,12,2,13,2,1,3,0,0
"6","ANA","CAR",2008020077,14171,20082009,1,7.61666666666667,7.23333333333333,0.383333333333333,0,0,0,0,0,5,1,8,1,14,1,1,0,0,0
"7","ANA","TOR",2008020083,14173,20082009,0,2,2,0,0,0,0,0,0,2,0,3,0,5,0,0,0,0,0
"8","ANA","OTT",2008020099,14176,20082009,0,5.9,5.9,0,0,1,0,0,0,12,1,16,1,17,1,0,0,0,0
"9","ANA","MTL",2008020107,14177,20082009,0,2.96666666666667,2.96666666666667,0,0,2,0,0,0,4,0,6,0,11,0,0,0,0,0
"10","ANA","CBJ",2008020122,14179,20082009,0,7.45,6.05,0,1.4,1,1,0,0,5,3,11,3,11,3,0,0,0,0
"11","ANA","DET",2008020135,14181,20082009,1,8.91666666666667,6.73333333333333,2.18333333333333,0,3,0,0,0,10,1,12,1,18,1,3,1,0,0
"12","ANA","VAN",2008020149,14183,20082009,1,12.8833333333333,11.4666666666667,0.05,1.36666666666667,3,1,0,0,14,2,17,2,18,2,0,0,0,0
"13","ANA","CGY",2008020166,14185,20082009,1,2,2,0,0,0,0,0,0,5,0,7,0,7,0,0,0,0,0
"14","ANA","L.A",2008020176,14187,20082009,0,7.65,6.91666666666667,0.133333333333333,0.6,0,0,0,0,6,0,8,0,10,0,0,0,0,0
"15","ANA","STL",2008020180,14188,20082009,1,1.13333333333333,1.13333333333333,0,0,1,0,0,0,2,0,4,0,6,0,0,0,0,0
"16","ANA","DAL",2008020195,14190,20082009,1,7.26666666666667,7.26666666666667,0,0,1,0,0,0,4,0,6,0,9,0,0,1,0,0
"17","ANA","FLA",2008020212,14192,20082009,1,8,8,0,0,0,0,0,0,14,0,17,0,23,0,0,0,0,0
"18","ANA","NSH",2008020241,14197,20082009,1,5.85,4.35,1.5,0,2,0,0,0,11,0,12,0,16,0,0,0,0,0
"19","ANA","L.A",2008020256,14199,20082009,1,2.66666666666667,0.983333333333333,1.68333333333333,0,0,0,0,0,3,0,6,0,7,0,0,0,0,0
"20","ANA","WSH",2008020270,14202,20082009,1,8.03333333333333,8.03333333333333,0,0,1,0,0,0,7,1,13,1,14,1,0,0,0,0
"21","ANA","STL",2008020284,14204,20082009,0,8,8,0,0,0,0,0,0,4,1,7,1,12,1,0,0,0,0
"22","ANA","DAL",2008020293,14205,20082009,0,6.78333333333333,6.78333333333333,0,0,1,0,0,0,6,0,7,0,7,0,0,0,0,0
"23","ANA","COL",2008020305,14207,20082009,1,3.76666666666667,3.76666666666667,0,0,2,0,0,0,4,1,7,2,7,2,0,0,0,0
"24","ANA","CHI",2008020327,14211,20082009,1,2,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
"25","ANA","CAR",2008020349,14213,20082009,0,6.21666666666667,5.6,0.616666666666667,0,1,0,0,0,7,1,10,1,13,2,1,0,0,0
"26","ANA","DET",2008020352,14214,20082009,0,3.01666666666667,3.01666666666667,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0
"27","ANA","CHI",2008020364,14216,20082009,0,4.08333333333333,4.08333333333333,0,0,1,0,0,0,6,0,6,0,6,0,0,1,0,0
"28","ANA","CBJ",2008020396,14220,20082009,1,6,6,0,0,0,0,0,0,6,1,7,1,7,2,0,0,0,0
"29","ANA","STL",2008020413,14223,20082009,1,5.81666666666667,5.81666666666667,0,0,1,0,0,0,7,0,7,0,8,2,0,0,0,0
"30","ANA","S.J",2008020421,14224,20082009,0,4.2,4.2,0,0,0,0,0,0,2,0,3,1,5,1,0,2,0,0
"31","ANA","MIN",2008020442,14227,20082009,1,10.0666666666667,10.0666666666667,0,0,0,0,0,0,12,3,16,3,18,3,0,0,0,0
"32","ANA","NYR",2008020454,14229,20082009,1,6,6,0,0,0,0,0,0,3,0,6,0,8,0,1,1,0,0
"33","ANA","EDM",2008020473,14232,20082009,0,11.7333333333333,11.0166666666667,0.716666666666667,0,1,0,0,0,12,4,17,4,23,4,2,1,0,0
"34","ANA","VAN",2008020493,14235,20082009,0,7.46666666666667,6.36666666666667,0.6,0.5,2,0,0,0,11,0,16,0,21,0,1,0,0,0
"35","ANA","CGY",2008020505,14236,20082009,0,2,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
"36","ANA","DAL",2008020522,14240,20082009,0,3.63333333333333,3.63333333333333,0,0,1,0,0,0,4,0,6,0,7,0,0,0,0,0
"37","ANA","STL",2008020528,14241,20082009,0,5.4,5.4,0,0,2,0,0,0,6,0,8,0,9,0,0,0,0,0
"38","ANA","CBJ",2008020552,14244,20082009,1,8,8,0,0,0,0,0,0,8,2,10,3,11,5,0,0,0,0
"39","ANA","PHI",2008020564,14246,20082009,1,5.43333333333333,5.43333333333333,0,0,2,0,0,0,5,1,8,1,9,1,0,0,0,0
"40","ANA","ARI",2008020581,14248,20082009,1,5.23333333333333,5.23333333333333,0,0,2,0,0,0,10,0,11,0,11,0,0,0,0,0
"41","ANA","L.A",2008020595,14250,20082009,1,6.38333333333333,6.35,0.0333333333333333,0,2,0,0,0,7,0,7,2,9,2,1,0,0,0
"42","ANA","L.A",2008020608,14252,20082009,0,10.4,9.98333333333333,0.416666666666667,0,1,0,0,0,14,2,26,2,27,2,2,0,0,0
"43","ANA","T.B",2008020613,14253,20082009,1,6.98333333333333,6.98333333333333,0,0,1,1,0,0,9,1,11,1,13,1,0,0,0,0
"44","ANA","N.J",2008020628,14255,20082009,1,8,8,0,0,0,0,0,0,5,2,8,2,8,2,0,0,0,0
"45","ANA","DET",2008020645,14258,20082009,1,7.61666666666667,7.61666666666667,0,0,1,0,0,0,6,0,8,2,13,3,0,0,0,0
"46","ANA","PIT",2008020657,14260,20082009,0,6.81666666666667,6.81666666666667,0,0,1,0,0,0,4,1,7,1,11,1,0,0,0,0
