"","Team","Opponent","game_id","game_date","season","is_home","TOI","TOI_4v5","TOI_3v5","TOI_3v4","GF","GA","xGF","xGA","SF","SA","FF","FA","CF","CA","PEND2","PENT2","PEND5","PENT5"
"1","ANA","S.J",2008020008,14161,20082009,0,11.7,11.35,0.35,0,0,2,0,0,1,17,1,18,1,22,0,1,0,0
"2","ANA","ARI",2008020030,14164,20082009,1,9.88333333333333,9.88333333333333,0,0,0,1,0,0,1,7,4,9,4,11,0,0,0,0
"3","ANA","L.A",2008020042,14166,20082009,0,12.0666666666667,9.18333333333333,2.88333333333333,0,0,3,0,0,0,9,0,15,1,17,1,1,0,0
"4","ANA","EDM",2008020048,14167,20082009,1,4.78333333333333,4.78333333333333,0,0,0,1,0,0,0,5,0,6,0,9,0,0,0,0
"5","ANA","S.J",2008020061,14169,20082009,1,10.4166666666667,8.71666666666667,1.03333333333333,0.666666666666667,0,0,0,0,1,13,2,19,2,23,1,0,0,0
"6","ANA","CAR",2008020077,14171,20082009,1,7.23333333333333,6.46666666666667,0.766666666666667,0,0,0,0,0,0,5,0,7,1,9,0,1,0,0
"7","ANA","TOR",2008020083,14173,20082009,0,7.46666666666667,6.93333333333333,0.533333333333333,0,0,0,0,0,0,4,0,12,0,15,0,1,0,0
"8","ANA","OTT",2008020099,14176,20082009,0,12.3166666666667,12.1166666666667,0.2,0,0,2,0,0,0,11,0,15,0,22,1,1,0,0
"9","ANA","MTL",2008020107,14177,20082009,0,10.8833333333333,10.8833333333333,0,0,1,2,0,0,3,15,3,21,3,28,1,1,0,0
"10","ANA","CBJ",2008020122,14179,20082009,0,9.73333333333333,9.73333333333333,0,0,0,0,0,0,1,4,1,7,1,14,1,0,0,0
"11","ANA","DET",2008020135,14181,20082009,1,8,7.2,0.583333333333333,0.216666666666667,0,2,0,0,0,11,0,15,0,17,1,1,0,0
"12","ANA","VAN",2008020149,14183,20082009,1,7.7,6.66666666666667,0,1.03333333333333,0,2,0,0,3,8,3,11,3,12,1,0,0,0
"13","ANA","CGY",2008020166,14185,20082009,1,10,10,0,0,0,1,0,0,4,10,5,13,5,14,0,0,0,0
"14","ANA","L.A",2008020176,14187,20082009,0,10.4,10.4,0,0,0,0,0,0,0,8,0,11,0,15,1,0,0,0
"15","ANA","STL",2008020180,14188,20082009,1,7.8,7.8,0,0,0,1,0,0,1,6,1,9,1,12,0,0,0,0
"16","ANA","DAL",2008020195,14190,20082009,1,8.81666666666667,8.81666666666667,0,0,0,2,0,0,1,7,1,7,1,8,0,0,0,0
"17","ANA","FLA",2008020212,14192,20082009,1,6.36666666666667,6.36666666666667,0,0,0,1,0,0,1,7,1,10,1,12,0,0,0,0
"18","ANA","NSH",2008020241,14197,20082009,1,7.75,7.75,0,0,0,2,0,0,0,10,0,11,0,13,0,0,0,0
"19","ANA","L.A",2008020256,14199,20082009,1,8.36666666666667,8.36666666666667,0,0,0,0,0,0,0,9,0,13,0,15,1,0,0,0
"20","ANA","WSH",2008020270,14202,20082009,1,10.0666666666667,9.95,0,0.116666666666667,0,3,0,0,0,11,0,13,0,15,1,0,0,0
"21","ANA","STL",2008020284,14204,20082009,0,9.61666666666667,9.06666666666667,0,0.55,0,2,0,0,1,12,1,14,1,20,0,0,0,0
"22","ANA","DAL",2008020293,14205,20082009,0,9.91666666666667,7.76666666666667,1.85,0.3,0,0,0,0,0,6,0,9,0,12,3,2,0,0
"23","ANA","COL",2008020305,14207,20082009,1,7.18333333333333,6.36666666666667,0.816666666666667,0,0,0,0,0,1,3,2,7,2,8,0,1,0,0
"24","ANA","CHI",2008020327,14211,20082009,1,4,4,0,0,0,0,0,0,1,3,1,4,1,4,0,0,0,0
"25","ANA","CAR",2008020349,14213,20082009,0,8,8,0,0,0,0,0,0,1,4,1,8,1,14,0,0,0,0
"26","ANA","DET",2008020352,14214,20082009,0,7.01666666666667,7.01666666666667,0,0,0,0,0,0,0,7,0,9,1,10,0,0,0,0
"27","ANA","CHI",2008020364,14216,20082009,0,7.58333333333333,7.58333333333333,0,0,0,1,0,0,1,7,1,12,1,14,0,0,0,0
"28","ANA","CBJ",2008020396,14220,20082009,1,11.0166666666667,11.0166666666667,0,0,0,1,0,0,3,11,3,18,5,20,0,0,0,0
"29","ANA","STL",2008020413,14223,20082009,1,7.28333333333333,5.4,1.3,0.583333333333333,0,1,0,0,0,10,0,13,0,14,0,1,0,0
"30","ANA","S.J",2008020421,14224,20082009,0,4.2,4.2,0,0,0,0,0,0,2,2,2,4,2,5,0,0,0,0
"31","ANA","MIN",2008020442,14227,20082009,1,6.98333333333333,6.98333333333333,0,0,0,1,0,0,3,5,3,5,3,6,0,0,0,0
"32","ANA","NYR",2008020454,14229,20082009,1,5.53333333333333,4.86666666666667,0.666666666666667,0,0,0,0,0,0,4,0,8,0,8,0,1,0,0
"33","ANA","EDM",2008020473,14232,20082009,0,13.0833333333333,11.0833333333333,1.85,0.15,1,1,0,0,4,24,4,29,4,34,2,1,0,0
"34","ANA","VAN",2008020493,14235,20082009,0,13.1666666666667,11.6833333333333,1.48333333333333,0,0,2,0,0,1,13,2,21,2,28,0,2,0,0
"35","ANA","CGY",2008020505,14236,20082009,0,7.38333333333333,7.38333333333333,0,0,0,1,0,0,2,6,2,9,3,10,0,0,0,0
"36","ANA","DAL",2008020522,14240,20082009,0,9.75,7.75,0,2,0,1,0,0,1,14,1,18,1,20,0,0,0,0
"37","ANA","STL",2008020528,14241,20082009,0,8.08333333333333,7,1.08333333333333,0,0,2,0,0,1,9,1,11,1,14,2,1,0,0
"38","ANA","CBJ",2008020552,14244,20082009,1,7,6,1,0,0,0,0,0,0,7,0,10,1,12,0,1,0,0
"39","ANA","PHI",2008020564,14246,20082009,1,11.1,11.1,0,0,0,1,0,0,1,8,2,12,2,16,1,1,0,0
"40","ANA","ARI",2008020581,14248,20082009,1,7.4,6.8,0.6,0,0,0,0,0,1,12,1,15,1,16,0,1,0,0
