"","Team","Opponent","game_id","game_date","season","is_home","TOI","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff","PEND2","PENT2","PEND5","PENT5"
"1","ANA","S.J",2008020008,14161,20082009,0,60,1,4,-3,0,0,0,29,41,-12,30,48,-18,40,63,-23,2,7,0,0
"2","ANA","ARI",2008020030,14164,20082009,1,60,2,4,-2,0,0,0,35,24,11,50,32,18,58,39,19,7,9,0,0
"3","ANA","L.A",2008020042,14166,20082009,0,60,3,6,-3,0,0,0,26,23,3,36,37,-1,46,45,1,7,11,0,0
"4","ANA","EDM",2008020048,14167,20082009,1,60,2,3,-1,0,0,0,35,28,7,49,41,8,61,47,14,2,4,0,0
"5","ANA","S.J",2008020061,14169,20082009,1,60,4,0,4,0,0,0,20,38,-18,36,52,-16,43,59,-16,7,8,0,0
"6","ANA","CAR",2008020077,14171,20082009,1,60,1,3,-2,0,0,0,33,24,9,55,32,23,70,38,32,4,4,0,0
"7","ANA","TOR",2008020083,14173,20082009,0,65,2,2,0,0,0,0,21,38,-17,32,63,-31,52,83,-31,1,4,0,0
"8","ANA","OTT",2008020099,14176,20082009,0,60,4,3,1,0,0,0,32,30,2,44,46,-2,52,59,-7,3,7,0,0
"9","ANA","MTL",2008020107,14177,20082009,0,60,6,4,2,0,0,0,25,51,-26,37,64,-27,53,78,-25,6,8,0,0
"10","ANA","CBJ",2008020122,14179,20082009,0,60,3,2,1,0,0,0,24,32,-8,34,46,-12,39,57,-18,6,7,0,0
"11","ANA","DET",2008020135,14181,20082009,1,61.65,5,4,1,0,0,0,34,38,-4,45,50,-5,57,60,-3,9,8,0,0
"12","ANA","VAN",2008020149,14183,20082009,1,65,6,6,0,0,0,0,37,29,8,48,37,11,57,45,12,11,8,0,0
"13","ANA","CGY",2008020166,14185,20082009,1,60,3,2,1,0,0,0,37,36,1,53,49,4,59,55,4,1,6,0,0
"14","ANA","L.A",2008020176,14187,20082009,0,60.6666666666667,1,0,1,0,0,0,27,35,-8,35,55,-20,42,66,-24,6,7,0,0
"15","ANA","STL",2008020180,14188,20082009,1,60,5,2,3,0,0,0,27,32,-5,37,41,-4,49,50,-1,1,5,0,0
"16","ANA","DAL",2008020195,14190,20082009,1,60,2,5,-3,0,0,0,30,26,4,46,35,11,53,39,14,7,7,0,0
"17","ANA","FLA",2008020212,14192,20082009,1,60,1,3,-2,0,0,0,45,26,19,55,34,21,64,41,23,5,5,0,0
"18","ANA","NSH",2008020241,14197,20082009,1,62.2833333333333,3,4,-1,0,0,0,35,35,0,54,48,6,63,56,7,4,5,0,0
"19","ANA","L.A",2008020256,14199,20082009,1,60,2,0,2,0,0,0,26,29,-3,38,43,-5,42,51,-9,3,4,0,0
"20","ANA","WSH",2008020270,14202,20082009,1,60,4,6,-2,0,0,0,32,33,-1,44,36,8,50,41,9,8,10,0,0
"21","ANA","STL",2008020284,14204,20082009,0,62.65,2,3,-1,0,0,0,28,28,0,33,40,-7,53,51,2,6,6,0,0
"22","ANA","DAL",2008020293,14205,20082009,0,65,1,1,0,0,0,0,24,32,-8,36,55,-19,45,64,-19,7,9,0,0
"23","ANA","COL",2008020305,14207,20082009,1,60,4,1,3,0,0,0,24,30,-6,37,44,-7,41,51,-10,3,4,0,0
"24","ANA","CHI",2008020327,14211,20082009,1,60,1,0,1,0,0,0,21,26,-5,28,39,-11,34,42,-8,1,2,0,0
"25","ANA","CAR",2008020349,14213,20082009,0,60,4,1,3,0,0,0,27,37,-10,35,55,-20,49,79,-30,4,4,0,0
"26","ANA","DET",2008020352,14214,20082009,0,60,1,2,-1,0,0,0,16,47,-31,26,67,-41,41,73,-32,2,4,0,0
"27","ANA","CHI",2008020364,14216,20082009,0,60,2,4,-2,0,0,0,32,41,-9,38,48,-10,43,60,-17,3,5,0,0
"28","ANA","CBJ",2008020396,14220,20082009,1,60,5,3,2,0,0,0,34,32,2,41,47,-6,49,52,-3,4,6,0,0
"29","ANA","STL",2008020413,14223,20082009,1,60,4,2,2,0,0,0,36,28,8,46,39,7,53,47,6,5,6,0,0
"30","ANA","S.J",2008020421,14224,20082009,0,60,0,2,-2,0,0,0,31,27,4,46,40,6,63,55,8,5,6,0,0
"31","ANA","MIN",2008020442,14227,20082009,1,60,4,2,2,0,0,0,34,28,6,45,37,8,52,42,10,4,4,0,0
"32","ANA","NYR",2008020454,14229,20082009,1,60,1,3,-2,0,0,0,20,30,-10,29,41,-12,38,48,-10,4,5,0,0
"33","ANA","EDM",2008020473,14232,20082009,0,65,2,2,0,0,0,0,36,53,-17,48,63,-15,59,75,-16,10,11,0,0
"34","ANA","VAN",2008020493,14235,20082009,0,60,3,4,-1,0,0,0,27,26,1,45,40,5,61,50,11,8,10,0,0
"35","ANA","CGY",2008020505,14236,20082009,0,60,3,4,-1,0,0,0,33,32,1,45,49,-4,53,67,-14,1,4,0,0
"36","ANA","DAL",2008020522,14240,20082009,0,63.5666666666667,3,4,-1,0,0,0,22,38,-16,34,57,-23,44,68,-24,3,6,0,0
"37","ANA","STL",2008020528,14241,20082009,0,60,4,3,1,0,0,0,29,30,-1,38,43,-5,47,54,-7,6,8,0,0
"38","ANA","CBJ",2008020552,14244,20082009,1,60,0,2,-2,0,0,0,27,29,-2,36,38,-2,46,46,0,6,5,0,0
"39","ANA","PHI",2008020564,14246,20082009,1,65,4,4,0,0,0,0,27,32,-5,42,46,-4,47,55,-8,5,6,0,0
"40","ANA","ARI",2008020581,14248,20082009,1,60,2,0,2,0,0,0,34,29,5,55,37,18,60,44,16,4,3,0,0
"41","ANA","L.A",2008020595,14250,20082009,1,60,3,1,2,0,0,0,26,18,8,33,28,5,44,40,4,5,4,0,0
"42","ANA","L.A",2008020608,14252,20082009,0,60,3,4,-1,0,0,0,27,26,1,48,36,12,60,46,14,7,4,0,0
"43","ANA","T.B",2008020613,14253,20082009,1,60,3,4,-1,0,0,0,32,19,13,45,29,16,57,38,19,4,3,0,0
"44","ANA","N.J",2008020628,14255,20082009,1,60,4,3,1,0,0,0,34,21,13,44,27,17,51,33,18,4,2,0,0
"45","ANA","DET",2008020645,14258,20082009,1,60,3,4,-1,0,0,0,28,33,-5,40,54,-14,52,63,-11,4,4,0,0
"46","ANA","PIT",2008020657,14260,20082009,0,60,1,3,-2,0,0,0,22,24,-2,35,32,3,49,42,7,5,4,0,0
"47","ANA","MIN",2008020670,14261,20082009,0,60,3,0,3,0,0,0,34,30,4,43,48,-5,52,59,-7,1,4,0,0
"48","ANA","NYR",2008020684,14264,20082009,0,60,2,4,-2,0,0,0,34,30,4,51,48,3,60,55,5,5,7,0,0
"49","ANA","NYI",2008020693,14265,20082009,0,60,1,2,-1,0,0,0,40,14,26,54,21,33,82,30,52,5,1,0,0
"50","ANA","ARI",2008020711,14271,20082009,0,60,7,3,4,0,0,0,37,26,11,44,35,9,54,49,5,1,5,0,0
"51","ANA","CHI",2008020714,14272,20082009,1,60,2,3,-1,0,0,0,38,27,11,58,37,21,66,43,23,3,4,0,0
"52","ANA","COL",2008020733,14275,20082009,0,60,4,3,1,0,0,0,31,37,-6,45,52,-7,66,67,-1,5,4,0,0
"53","ANA","BUF",2008020747,14277,20082009,1,60,3,2,1,0,0,0,37,23,14,51,30,21,58,36,22,4,3,0,0
"54","ANA","MIN",2008020763,14279,20082009,0,60,0,3,-3,0,0,0,34,25,9,46,40,6,62,48,14,5,3,0,0
"55","ANA","NSH",2008020767,14280,20082009,0,60,2,4,-2,0,0,0,30,34,-4,35,42,-7,51,56,-5,2,2,0,0
"56","ANA","CGY",2008020779,14282,20082009,0,60,2,1,1,0,0,0,25,27,-2,38,34,4,50,44,6,2,4,0,0
"57","ANA","CGY",2008020810,14286,20082009,1,60.9166666666667,3,2,1,0,0,0,40,23,17,52,36,16,65,41,24,6,5,0,0
"58","ANA","ATL",2008020839,14290,20082009,1,60,4,8,-4,0,0,0,35,43,-8,51,52,-1,64,62,2,3,6,0,0
"59","ANA","L.A",2008020858,14293,20082009,1,60,3,4,-1,0,0,0,31,26,5,41,42,-1,50,54,-4,8,8,0,0
"60","ANA","DET",2008020873,14295,20082009,0,60,2,5,-3,0,0,0,26,34,-8,39,49,-10,50,62,-12,4,5,0,0
"61","ANA","CBJ",2008020883,14296,20082009,0,60,5,2,3,0,0,0,13,28,-15,20,39,-19,27,54,-27,4,9,0,0
"62","ANA","BUF",2008020894,14299,20082009,0,60,3,2,1,0,0,0,22,36,-14,27,45,-18,40,52,-12,5,6,0,0
"63","ANA","BOS",2008020908,14301,20082009,0,60,0,6,-6,0,0,0,35,27,8,43,32,11,54,47,7,4,5,0,0
"64","ANA","DAL",2008020925,14303,20082009,0,60,4,3,1,0,0,0,18,33,-15,29,44,-15,41,54,-13,3,5,0,0
"65","ANA","CHI",2008020949,14306,20082009,0,61.6666666666667,2,3,-1,0,0,0,28,37,-9,41,46,-5,51,54,-3,3,2,0,0
"66","ANA","DAL",2008020968,14309,20082009,1,60,2,3,-1,0,0,0,38,16,22,51,22,29,63,27,36,4,5,0,0
"67","ANA","MIN",2008020985,14311,20082009,1,60,2,3,-1,0,0,0,38,25,13,54,32,22,63,39,24,3,4,0,0
"68","ANA","VAN",2008021002,14314,20082009,1,63.6166666666667,4,3,1,0,0,0,41,35,6,57,52,5,65,61,4,7,7,0,0
