"","player","num_last_first","player_team_num","position","position_type","game_id","game_date","season","session","team","opponent","is_home","player_num","firstname","lastname"
"1","ALEX.OVECHKIN","8 OVECHKIN, ALEXANDER","WSH8","L","F","2008020013","2008-10-10","20082009","R","WSH","ATL",0,8,"ALEXANDER","OVECHKIN"
"2","ALEX.SEMIN","28 SEMIN, ALEXANDER","WSH28","L","F","2008020013","2008-10-10","20082009","R","WSH","ATL",0,28,"ALEXANDER","SEMIN"
"3","BRENT.JOHNSON","1 JOHNSON, BRENT","WSH1","G","G","2008020013","2008-10-10","20082009","R","WSH","ATL",0,1,"BRENT","JOHNSON"
"4","BROOKS.LAICH","21 LAICH, BROOKS","WSH21","C","F","2008020013","2008-10-10","20082009","R","WSH","ATL",0,21,"BROOKS","LAICH"
"5","CHRIS.CLARK","17 CLARK, CHRIS","WSH17","R","F","2008020013","2008-10-10","20082009","R","WSH","ATL",0,17,"CHRIS","CLARK"
"6","DAVID.STECKEL","39 STECKEL, DAVID","WSH39","C","F","2008020013","2008-10-10","20082009","R","WSH","ATL",0,39,"DAVID","STECKEL"
"7","DONALD.BRASHEAR","87 BRASHEAR, DONALD","WSH87","L","F","2008020013","2008-10-10","20082009","R","WSH","ATL",0,87,"DONALD","BRASHEAR"
"8","JEFF.SCHULTZ","55 SCHULTZ, JEFF","WSH55","D","D","2008020013","2008-10-10","20082009","R","WSH","ATL",0,55,"JEFF","SCHULTZ"
"9","JOHN.ERSKINE","4 ERSKINE, JOHN","WSH4","D","D","2008020013","2008-10-10","20082009","R","WSH","ATL",0,4,"JOHN","ERSKINE"
"10","JOSE.THEODORE","60 THEODORE, JOSE","WSH60","G","G","2008020013","2008-10-10","20082009","R","WSH","ATL",0,60,"JOSE","THEODORE"
"11","MATT.BRADLEY","10 BRADLEY, MATT","WSH10","R","F","2008020013","2008-10-10","20082009","R","WSH","ATL",0,10,"MATT","BRADLEY"
"12","MICHAEL.NYLANDER","92 NYLANDER, MICHAEL","WSH92","C","F","2008020013","2008-10-10","20082009","R","WSH","ATL",0,92,"MICHAEL","NYLANDER"
"13","MIKE.GREEN","52 GREEN, MIKE","WSH52","D","D","2008020013","2008-10-10","20082009","R","WSH","ATL",0,52,"MIKE","GREEN"
"14","MILAN.JURCINA","23 JURCINA, MILAN","WSH23","D","D","2008020013","2008-10-10","20082009","R","WSH","ATL",0,23,"MILAN","JURCINA"
