"","player","num_last_first","player_team_num","position","position_type","game_id","game_date","season","session","team","opponent","is_home","player_num","firstname","lastname"
"1","AARON.VOROS","34 VOROS, AARON","NYR34","L","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,34,"AARON","VOROS"
"2","BLAIR.BETTS","15 BETTS, BLAIR","NYR15","C","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,15,"BLAIR","BETTS"
"3","BRANDON.DUBINSKY","17 DUBINSKY, BRANDON","NYR17","C","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,17,"BRANDON","DUBINSKY"
"4","CHRIS.DRURY","23 DRURY, CHRIS","NYR23","C","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,23,"CHRIS","DRURY"
"5","COLTON.ORR","28 ORR, COLTON","NYR28","R","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,28,"COLTON","ORR"
"6","DAN.GIRARDI","5 GIRARDI, DANIEL","NYR5","D","D","2008020001","2008-10-04","20082009","R","NYR","T.B",0,5,"DANIEL","GIRARDI"
"7","DMITRI.KALININ","45 KALININ, DMITRI","NYR45","D","D","2008020001","2008-10-04","20082009","R","NYR","T.B",0,45,"DMITRI","KALININ"
"8","HENRIK.LUNDQVIST","30 LUNDQVIST, HENRIK","NYR30","G","G","2008020001","2008-10-04","20082009","R","NYR","T.B",0,30,"HENRIK","LUNDQVIST"
"9","LAURI.KORPIKOSKI","29 KORPIKOSKI, LAURI","NYR29","L","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,29,"LAURI","KORPIKOSKI"
"10","MARC.STAAL","18 STAAL, MARC","NYR18","D","D","2008020001","2008-10-04","20082009","R","NYR","T.B",0,18,"MARC","STAAL"
"11","MARKUS.NASLUND","91 NASLUND, MARKUS","NYR91","L","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,91,"MARKUS","NASLUND"
"12","MICHAL.ROZSIVAL","3 ROZSIVAL, MICHAL","NYR3","D","D","2008020001","2008-10-04","20082009","R","NYR","T.B",0,3,"MICHAL","ROZSIVAL"
"13","NIGEL.DAWES","10 DAWES, NIGEL","NYR10","L","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,10,"NIGEL","DAWES"
"14","NIKOLAY.ZHERDEV","13 ZHERDEV, NIKOLAI","NYR13","R","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,13,"NIKOLAI","ZHERDEV"
"15","PAUL.MARA","27 MARA, PAUL","NYR27","D","D","2008020001","2008-10-04","20082009","R","NYR","T.B",0,27,"PAUL","MARA"
"16","PETR.PRUCHA","25 PRUCHA, PETR","NYR25","R","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,25,"PETR","PRUCHA"
"17","RYAN.CALLAHAN","24 CALLAHAN, RYAN","NYR24","R","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,24,"RYAN","CALLAHAN"
"18","SCOTT.GOMEZ","19 GOMEZ, SCOTT","NYR19","C","F","2008020001","2008-10-04","20082009","R","NYR","T.B",0,19,"SCOTT","GOMEZ"
"19","WADE.REDDEN","6 REDDEN, WADE","NYR6","D","D","2008020001","2008-10-04","20082009","R","NYR","T.B",0,6,"WADE","REDDEN"
"20","ADAM.HALL","18 HALL, ADAM","T.B18","R","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,18,"ADAM","HALL"
"21","ANDREJ.MESZAROS","14 MESZAROS, ANDREJ","T.B14","D","D","2008020001","2008-10-04","20082009","R","T.B","NYR",1,14,"ANDREJ","MESZAROS"
"22","CHRIS.GRATTON","77 GRATTON, CHRIS","T.B77","C","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,77,"CHRIS","GRATTON"
"23","EVGENY.ARTYUKHIN","76 ARTYUKHIN, EVGENY","T.B76","R","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,76,"EVGENY","ARTYUKHIN"
"24","GARY.ROBERTS","10 ROBERTS, GARY","T.B10","L","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,10,"GARY","ROBERTS"
"25","JAMIE.HEWARD","23 HEWARD, JAMIE","T.B23","D","D","2008020001","2008-10-04","20082009","R","T.B","NYR",1,23,"JAMIE","HEWARD"
"26","JANNE.NISKALA","29 NISKALA, JANNE","T.B29","D","D","2008020001","2008-10-04","20082009","R","T.B","NYR",1,29,"JANNE","NISKALA"
"27","JUSSI.JOKINEN","36 JOKINEN, JUSSI","T.B36","L","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,36,"JUSSI","JOKINEN"
"28","MARK.RECCHI","8 RECCHI, MARK","T.B8","R","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,8,"MARK","RECCHI"
"29","MARTIN.ST. LOUIS","26 ST. LOUIS, MARTIN","T.B26","R","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,26,"MARTIN","ST. LOUIS"
"30","MATT.CARLE","5 CARLE, MATTHEW","T.B5","D","D","2008020001","2008-10-04","20082009","R","T.B","NYR",1,5,"MATTHEW","CARLE"
"31","MIKE.SMITH","41 SMITH, MIKE","T.B41","G","G","2008020001","2008-10-04","20082009","R","T.B","NYR",1,41,"MIKE","SMITH"
"32","RADIM.VRBATA","17 VRBATA, RADIM","T.B17","R","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,17,"RADIM","VRBATA"
"33","RYAN.MALONE","12 MALONE, RYAN","T.B12","L","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,12,"RYAN","MALONE"
"34","SHANE.O'BRIEN","55 O'BRIEN, SHANE","T.B55","D","D","2008020001","2008-10-04","20082009","R","T.B","NYR",1,55,"SHANE","O'BRIEN"
"35","STEVEN.STAMKOS","91 STAMKOS, STEVEN","T.B91","C","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,91,"STEVEN","STAMKOS"
"36","VINCENT.LECAVALIER","4 LECAVALIER, VINCENT","T.B4","C","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,4,"VINCENT","LECAVALIER"
"37","VINNY.PROSPAL","20 PROSPAL, VACLAV","T.B20","C","F","2008020001","2008-10-04","20082009","R","T.B","NYR",1,20,"VACLAV","PROSPAL"
"38","VLADIMIR.MIHALIK","56 MIHALIK, VLADIMIR","T.B56","D","D","2008020001","2008-10-04","20082009","R","T.B","NYR",1,56,"VLADIMIR","MIHALIK"
"39","ADAM.HALL","18 HALL, ADAM","T.B18","R","F","2008020003","2008-10-05","20082009","R","T.B","NYR",0,18,"ADAM","HALL"
