"","player","num_last_first","player_team_num","position","position_type","game_id","game_date","season","session","team","opponent","is_home","player_num","firstname","lastname"
"1","ALEX.PICARD2","21 PICARD, ALEXANDRE","CBJ21","L","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,21,"ALEXANDRE","PICARD"
"2","ANDREW.MURRAY","17 MURRAY, ANDREW","CBJ17","C","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,17,"ANDREW","MURRAY"
"3","CHRISTIAN.BACKMAN","5 BACKMAN, CHRISTIAN","CBJ5","D","D","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,5,"CHRISTIAN","BACKMAN"
"4","DERICK.BRASSARD","16 BRASSARD, DERICK","CBJ16","C","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,16,"DERICK","BRASSARD"
"5","FEDOR.TYUTIN","51 TYUTIN, FEDOR","CBJ51","D","D","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,51,"FEDOR","TYUTIN"
"6","FREDRIK.MODIN","33 MODIN, FREDRIK","CBJ33","L","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,33,"FREDRIK","MODIN"
"7","JAKUB.VORACEK","93 VORACEK, JAKUB","CBJ93","R","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,93,"JAKUB","VORACEK"
"8","JAN.HEJDA","8 HEJDA, JAN","CBJ8","D","D","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,8,"JAN","HEJDA"
"9","JARED.BOLL","40 BOLL, JARED","CBJ40","R","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,40,"JARED","BOLL"
"10","JASON.CHIMERA","25 CHIMERA, JASON","CBJ25","L","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,25,"JASON","CHIMERA"
"11","JIRI.NOVOTNY","12 NOVOTNY, JIRI","CBJ12","C","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,12,"JIRI","NOVOTNY"
"12","KRIS.RUSSELL","2 RUSSELL, KRIS","CBJ2","D","D","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,2,"KRIS","RUSSELL"
"13","KRISTIAN.HUSELIUS","20 HUSELIUS, KRISTIAN","CBJ20","L","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,20,"KRISTIAN","HUSELIUS"
"14","MICHAEL.PECA","19 PECA, MICHAEL","CBJ19","C","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,19,"MICHAEL","PECA"
"15","MIKE.COMMODORE","22 COMMODORE, MIKE","CBJ22","D","D","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,22,"MIKE","COMMODORE"
"16","PASCAL.LECLAIRE","31 LECLAIRE, PASCAL","CBJ31","G","G","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,31,"PASCAL","LECLAIRE"
"17","R.J..UMBERGER","18 UMBERGER, R.J.","CBJ18","C","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,18,"R.J.","UMBERGER"
"18","RICK.NASH","61 NASH, RICK","CBJ61","L","F","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,61,"RICK","NASH"
"19","ROSTISLAV.KLESLA","97 KLESLA, ROSTISLAV","CBJ97","D","D","2008020015","2008-10-10","20082009","R","CBJ","DAL",0,97,"ROSTISLAV","KLESLA"
"20","B.J..CROMBEEN","44 CROMBEEN, BRANDON","DAL44","R","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,44,"BRANDON","CROMBEEN"
"21","BRAD.RICHARDS","91 RICHARDS, BRAD","DAL91","C","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,91,"BRAD","RICHARDS"
"22","BRENDEN.MORROW","10 MORROW, BRENDEN","DAL10","L","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,10,"BRENDEN","MORROW"
"23","JAMES.NEAL","18 NEAL, JAMES","DAL18","L","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,18,"JAMES","NEAL"
"24","JOEL.LUNDQVIST","39 LUNDQVIST, JOEL","DAL39","C","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,39,"JOEL","LUNDQVIST"
"25","KRYS.BARCH","13 BARCH, KRYSTOFER","DAL13","R","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,13,"KRYSTOFER","BARCH"
"26","LOUI.ERIKSSON","21 ERIKSSON, LOUI","DAL21","L","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,21,"LOUI","ERIKSSON"
"27","MARK.FISTRIC","28 FISTRIC, MARK","DAL28","D","D","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,28,"MARK","FISTRIC"
"28","MARTY.TURCO","35 TURCO, MARTY","DAL35","G","G","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,35,"MARTY","TURCO"
"29","MATT.NISKANEN","5 NISKANEN, MATT","DAL5","D","D","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,5,"MATT","NISKANEN"
"30","MIKE.MODANO","9 MODANO, MIKE","DAL9","C","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,9,"MIKE","MODANO"
"31","MIKE.RIBEIRO","63 RIBEIRO, MIKE","DAL63","C","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,63,"MIKE","RIBEIRO"
"32","NICKLAS.GROSSMANN","2 GROSSMAN, NICKLAS","DAL2","D","D","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,2,"NICKLAS","GROSSMAN"
"33","PHILIPPE.BOUCHER","43 BOUCHER, PHILIPPE","DAL43","D","D","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,43,"PHILIPPE","BOUCHER"
"34","SEAN.AVERY","16 AVERY, SEAN","DAL16","L","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,16,"SEAN","AVERY"
"35","STEPHANE.ROBIDAS","3 ROBIDAS, STEPHANE","DAL3","D","D","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,3,"STEPHANE","ROBIDAS"
"36","STEVE.OTT","29 OTT, STEVE","DAL29","C","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,29,"STEVE","OTT"
"37","TOBY.PETERSEN","17 PETERSEN, TOBY","DAL17","C","F","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,17,"TOBY","PETERSEN"
"38","TREVOR.DALEY","6 DALEY, TREVOR","DAL6","D","D","2008020015","2008-10-10","20082009","R","DAL","CBJ",1,6,"TREVOR","DALEY"
"39","B.J..CROMBEEN","44 CROMBEEN, BRANDON","DAL44","R","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,44,"BRANDON","CROMBEEN"
"40","BRAD.RICHARDS","91 RICHARDS, BRAD","DAL91","C","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,91,"BRAD","RICHARDS"
"41","BRENDEN.MORROW","10 MORROW, BRENDEN","DAL10","L","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,10,"BRENDEN","MORROW"
"42","JAMES.NEAL","18 NEAL, JAMES","DAL18","L","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,18,"JAMES","NEAL"
"43","JOEL.LUNDQVIST","39 LUNDQVIST, JOEL","DAL39","C","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,39,"JOEL","LUNDQVIST"
"44","KRYS.BARCH","13 BARCH, KRYSTOFER","DAL13","R","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,13,"KRYSTOFER","BARCH"
"45","LOUI.ERIKSSON","21 ERIKSSON, LOUI","DAL21","L","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,21,"LOUI","ERIKSSON"
"46","MARK.FISTRIC","28 FISTRIC, MARK","DAL28","D","D","2008020024","2008-10-11","20082009","R","DAL","NSH",0,28,"MARK","FISTRIC"
"47","MARTY.TURCO","35 TURCO, MARTY","DAL35","G","G","2008020024","2008-10-11","20082009","R","DAL","NSH",0,35,"MARTY","TURCO"
"48","MATT.NISKANEN","5 NISKANEN, MATT","DAL5","D","D","2008020024","2008-10-11","20082009","R","DAL","NSH",0,5,"MATT","NISKANEN"
"49","MIKE.MODANO","9 MODANO, MIKE","DAL9","C","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,9,"MIKE","MODANO"
"50","MIKE.RIBEIRO","63 RIBEIRO, MIKE","DAL63","C","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,63,"MIKE","RIBEIRO"
"51","NICKLAS.GROSSMANN","2 GROSSMAN, NICKLAS","DAL2","D","D","2008020024","2008-10-11","20082009","R","DAL","NSH",0,2,"NICKLAS","GROSSMAN"
"52","PHILIPPE.BOUCHER","43 BOUCHER, PHILIPPE","DAL43","D","D","2008020024","2008-10-11","20082009","R","DAL","NSH",0,43,"PHILIPPE","BOUCHER"
"53","SEAN.AVERY","16 AVERY, SEAN","DAL16","L","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,16,"SEAN","AVERY"
"54","STEPHANE.ROBIDAS","3 ROBIDAS, STEPHANE","DAL3","D","D","2008020024","2008-10-11","20082009","R","DAL","NSH",0,3,"STEPHANE","ROBIDAS"
"55","STEVE.OTT","29 OTT, STEVE","DAL29","C","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,29,"STEVE","OTT"
"56","TOBY.PETERSEN","17 PETERSEN, TOBY","DAL17","C","F","2008020024","2008-10-11","20082009","R","DAL","NSH",0,17,"TOBY","PETERSEN"
"57","TREVOR.DALEY","6 DALEY, TREVOR","DAL6","D","D","2008020024","2008-10-11","20082009","R","DAL","NSH",0,6,"TREVOR","DALEY"
"58","DAN.ELLIS","39 ELLIS, DAN","NSH39","G","G","2008020024","2008-10-11","20082009","R","NSH","DAL",1,39,"DAN","ELLIS"
"59","DAN.HAMHUIS","2 HAMHUIS, DAN","NSH2","D","D","2008020024","2008-10-11","20082009","R","NSH","DAL",1,2,"DAN","HAMHUIS"
"60","DAVID.LEGWAND","11 LEGWAND, DAVID","NSH11","C","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,11,"DAVID","LEGWAND"
"61","GREG.DE VRIES","7 DE VRIES, GREG","NSH7","D","D","2008020024","2008-10-11","20082009","R","NSH","DAL",1,7,"GREG","DE VRIES"
"62","GREG.ZANON","5 ZANON, GREG","NSH5","D","D","2008020024","2008-10-11","20082009","R","NSH","DAL",1,5,"GREG","ZANON"
"63","J-P.DUMONT","71 DUMONT, JEAN-PIERRE","NSH71","R","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,71,"JEAN-PIERRE","DUMONT"
"64","JASON.ARNOTT","19 ARNOTT, JASON","NSH19","C","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,19,"JASON","ARNOTT"
"65","JERRED.SMITHSON","25 SMITHSON, JERRED","NSH25","C","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,25,"JERRED","SMITHSON"
"66","JOEL.WARD","29 WARD, JOEL","NSH29","R","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,29,"JOEL","WARD"
"67","JORDIN.TOOTOO","22 TOOTOO, JORDIN","NSH22","R","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,22,"JORDIN","TOOTOO"
"68","KEVIN.KLEIN","8 KLEIN, KEVIN","NSH8","D","D","2008020024","2008-10-11","20082009","R","NSH","DAL",1,8,"KEVIN","KLEIN"
"69","MARTIN.ERAT","10 ERAT, MARTIN","NSH10","R","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,10,"MARTIN","ERAT"
"70","PATRIC.HORNQVIST","27 HORNQVIST, PATRIC","NSH27","R","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,27,"PATRIC","HORNQVIST"
"71","RADEK.BONK","14 BONK, RADEK","NSH14","C","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,14,"RADEK","BONK"
"72","RICH.PEVERLEY","37 PEVERLEY, RICH","NSH37","C","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,37,"RICH","PEVERLEY"
"73","RYAN.SUTER","20 SUTER, RYAN","NSH20","D","D","2008020024","2008-10-11","20082009","R","NSH","DAL",1,20,"RYAN","SUTER"
"74","SCOTT.NICHOL","12 NICHOL, SCOTT","NSH12","C","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,12,"SCOTT","NICHOL"
"75","SHEA.WEBER","6 WEBER, SHEA","NSH6","D","D","2008020024","2008-10-11","20082009","R","NSH","DAL",1,6,"SHEA","WEBER"
"76","VERNON.FIDDLER","38 FIDDLER, VERNON","NSH38","C","F","2008020024","2008-10-11","20082009","R","NSH","DAL",1,38,"VERNON","FIDDLER"
"77","DAN.ELLIS","39 ELLIS, DAN","NSH39","G","G","2008020047","2008-10-15","20082009","R","NSH","DAL",0,39,"DAN","ELLIS"
"78","DAN.HAMHUIS","2 HAMHUIS, DAN","NSH2","D","D","2008020047","2008-10-15","20082009","R","NSH","DAL",0,2,"DAN","HAMHUIS"
"79","DAVID.LEGWAND","11 LEGWAND, DAVID","NSH11","C","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,11,"DAVID","LEGWAND"
"80","GREG.DE VRIES","7 DE VRIES, GREG","NSH7","D","D","2008020047","2008-10-15","20082009","R","NSH","DAL",0,7,"GREG","DE VRIES"
"81","GREG.ZANON","5 ZANON, GREG","NSH5","D","D","2008020047","2008-10-15","20082009","R","NSH","DAL",0,5,"GREG","ZANON"
"82","J-P.DUMONT","71 DUMONT, JEAN-PIERRE","NSH71","R","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,71,"JEAN-PIERRE","DUMONT"
"83","JERRED.SMITHSON","25 SMITHSON, JERRED","NSH25","C","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,25,"JERRED","SMITHSON"
"84","JOEL.WARD","29 WARD, JOEL","NSH29","R","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,29,"JOEL","WARD"
"85","JORDIN.TOOTOO","22 TOOTOO, JORDIN","NSH22","R","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,22,"JORDIN","TOOTOO"
"86","MARTIN.ERAT","10 ERAT, MARTIN","NSH10","R","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,10,"MARTIN","ERAT"
"87","PATRIC.HORNQVIST","27 HORNQVIST, PATRIC","NSH27","R","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,27,"PATRIC","HORNQVIST"
"88","RADEK.BONK","14 BONK, RADEK","NSH14","C","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,14,"RADEK","BONK"
"89","RICH.PEVERLEY","37 PEVERLEY, RICH","NSH37","C","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,37,"RICH","PEVERLEY"
"90","RYAN.JONES","28 JONES, RYAN","NSH28","R","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,28,"RYAN","JONES"
"91","RYAN.SUTER","20 SUTER, RYAN","NSH20","D","D","2008020047","2008-10-15","20082009","R","NSH","DAL",0,20,"RYAN","SUTER"
"92","SCOTT.NICHOL","12 NICHOL, SCOTT","NSH12","C","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,12,"SCOTT","NICHOL"
"93","SHEA.WEBER","6 WEBER, SHEA","NSH6","D","D","2008020047","2008-10-15","20082009","R","NSH","DAL",0,6,"SHEA","WEBER"
"94","VERNON.FIDDLER","38 FIDDLER, VERNON","NSH38","C","F","2008020047","2008-10-15","20082009","R","NSH","DAL",0,38,"VERNON","FIDDLER"
"95","VILLE.KOISTINEN","4 KOISTINEN, VILLE","NSH4","D","D","2008020047","2008-10-15","20082009","R","NSH","DAL",0,4,"VILLE","KOISTINEN"
"96","B.J..CROMBEEN","44 CROMBEEN, BRANDON","DAL44","R","F","2008020047","2008-10-15","20082009","R","DAL","NSH",1,44,"BRANDON","CROMBEEN"
"97","BRAD.RICHARDS","91 RICHARDS, BRAD","DAL91","C","F","2008020047","2008-10-15","20082009","R","DAL","NSH",1,91,"BRAD","RICHARDS"
"98","BRENDEN.MORROW","10 MORROW, BRENDEN","DAL10","L","F","2008020047","2008-10-15","20082009","R","DAL","NSH",1,10,"BRENDEN","MORROW"
"99","FABIAN.BRUNNSTROM","96 BRUNNSTROM, FABIAN","DAL96","L","F","2008020047","2008-10-15","20082009","R","DAL","NSH",1,96,"FABIAN","BRUNNSTROM"
"100","JAMES.NEAL","18 NEAL, JAMES","DAL18","L","F","2008020047","2008-10-15","20082009","R","DAL","NSH",1,18,"JAMES","NEAL"
"101","JOEL.LUNDQVIST","39 LUNDQVIST, JOEL","DAL39","C","F","2008020047","2008-10-15","20082009","R","DAL","NSH",1,39,"JOEL","LUNDQVIST"
